WKT;id;keskustyyp;keskusnimi
"POINT (496837.5 6703125.0)";67;Kaupunkiseudun keskusta;Kotka
"POINT (483922.619047619 6748291.66666667)";68;Kaupunkiseudun keskusta;Kouvola
"POINT (534617.1875 6973914.0625)";69;Kaupunkiseudun keskusta;Kuopio
"POINT (427562.5 6761750.0)";70;Kaupunkiseudun keskusta;Lahti
"POINT (564136.363636364 6769693.18181818)";71;Kaupunkiseudun keskusta;Lappenranta
"POINT (337611.842105263 6682822.36842105)";72;Kaupunkiseudun keskusta;Lohja
"POINT (514253.787878788 6839382.57575758)";73;Kaupunkiseudun keskusta;Mikkeli
"POINT (428179.6875 7210128.90625)";74;Kaupunkiseudun keskusta;Oulu
"POINT (287625.0 7068000.0)";75;Kaupunkiseudun keskusta;Pietarsaari
"POINT (223060.714285714 6827875.0)";76;Kaupunkiseudun keskusta;Pori
"POINT (426285.714285714 6695830.35714286)";77;Kaupunkiseudun keskusta;Porvoo
"POINT (204169.642857143 6789580.35714286)";79;Kaupunkiseudun keskusta;Rauma
"POINT (443232.142857143 7376312.5)";80;Kaupunkiseudun keskusta;Rovaniemi
"POINT (286596.153846154 6700846.15384615)";81;Kaupunkiseudun keskusta;Salo
"POINT (598937.5 6860984.375)";82;Kaupunkiseudun keskusta;Savonlinna
"POINT (287717.105263158 6969032.89473684)";83;Kaupunkiseudun keskusta;Seinäjoki
"POINT (328411.458333333 6822481.77083333)";84;Kaupunkiseudun keskusta;Tampere
"POINT (239790.909090909 6710670.45454545)";85;Kaupunkiseudun keskusta;Turku
"POINT (228645.27027027 7007597.97297297)";86;Kaupunkiseudun keskusta;Vaasa
"POINT (340778.846153846 6796028.84615385)";87;Kaupunkiseudun keskusta;Valkeakoski
"POINT (545375.0 6909607.14285714)";88;Kaupunkiseudun keskusta;Varkaus
"POINT (333225 6660175)";134;Kaupunkiseudun ulkopuolinen iso keskus;Inkoo
"POINT (262958.333333333 6677333.33333333)";135;Kaupunkiseudun ulkopuolinen iso keskus;Kemiö
"POINT (392500.0 6740875.0)";136;Kaupunkiseudun ulkopuolinen iso keskus;Hausjärvi
"POINT (250553.571428571 6800267.85714286)";137;Kaupunkiseudun ulkopuolinen iso keskus;Kokemäki
"POINT (354000.0 6803500.0)";138;Kaupunkiseudun ulkopuolinen iso keskus;Pälkäne
"POINT (403416.666666666 6826916.66666667)";139;Kaupunkiseudun ulkopuolinen iso keskus;Kuhmoinen
"POINT (268725.0 6897425.0)";140;Kaupunkiseudun ulkopuolinen iso keskus;Karvia
"POINT (405750.0 6904125.0)";141;Kaupunkiseudun ulkopuolinen iso keskus;Petäjävesi
"POINT (470750 6917750)";142;Kaupunkiseudun ulkopuolinen iso keskus;Hankasalmi
"POINT (491500.0 6943500.0)";143;Kaupunkiseudun ulkopuolinen iso keskus;Rautalampi
"POINT (463500.0 6944250.0)";144;Kaupunkiseudun ulkopuolinen iso keskus;Konnevesi
"POINT (388375.0 6974000.0)";145;Kaupunkiseudun ulkopuolinen iso keskus;Karstula
"POINT (263125.0 6994250.0)";146;Kaupunkiseudun ulkopuolinen iso keskus;Isokyrö
"POINT (301156.25 7002906.25)";147;Kaupunkiseudun ulkopuolinen iso keskus;Kauhava
