mun;scenario;year;sahko_koti_as
922;kasvu;2030;698
922;kasvu;2031;693
922;kasvu;2032;688
922;kasvu;2033;683
922;kasvu;2034;678
922;kasvu;2035;673
922;kasvu;2036;668
922;kasvu;2037;663
922;kasvu;2038;658
922;kasvu;2039;654
922;kasvu;2040;649
922;kasvu;2041;644
922;kasvu;2042;640
922;kasvu;2043;635
922;kasvu;2044;631
922;kasvu;2045;626
922;kasvu;2046;621
922;kasvu;2047;617
922;kasvu;2048;612
922;kasvu;2049;608
922;kasvu;2050;603
922;muutos;2017;750
922;muutos;2018;750
922;muutos;2019;750
922;muutos;2020;741
922;muutos;2021;732
922;muutos;2022;723
922;muutos;2023;715
922;muutos;2024;706
922;muutos;2025;697
922;muutos;2026;688
922;muutos;2027;679
922;muutos;2028;670
922;muutos;2029;661
922;muutos;2030;653
922;muutos;2031;644
922;muutos;2032;636
922;muutos;2033;627
922;muutos;2034;619
922;muutos;2035;610
922;muutos;2036;602
922;muutos;2037;593
922;muutos;2038;585
922;muutos;2039;576
922;muutos;2040;568
922;muutos;2041;560
922;muutos;2042;553
922;muutos;2043;546
922;muutos;2044;538
922;muutos;2045;531
922;muutos;2046;523
922;muutos;2047;516
922;muutos;2048;509
922;muutos;2049;501
922;muutos;2050;494
922;saasto;2017;750
922;saasto;2018;750
922;saasto;2019;750
922;saasto;2020;740
922;saasto;2021;731
922;saasto;2022;721
922;saasto;2023;712
922;saasto;2024;702
922;saasto;2025;693
922;saasto;2026;683
922;saasto;2027;674
922;saasto;2028;664
922;saasto;2029;655
922;saasto;2030;645
922;saasto;2031;636
922;saasto;2032;627
922;saasto;2033;618
922;saasto;2034;609
922;saasto;2035;600
922;saasto;2036;591
922;saasto;2037;582
922;saasto;2038;573
922;saasto;2039;564
922;saasto;2040;555
922;saasto;2041;547
922;saasto;2042;539
922;saasto;2043;531
922;saasto;2044;524
922;saasto;2045;516
922;saasto;2046;508
922;saasto;2047;500
922;saasto;2048;493
922;saasto;2049;485
922;saasto;2050;477
922;pysahdys;2017;750
922;pysahdys;2018;750
922;pysahdys;2019;750
922;pysahdys;2020;747
922;pysahdys;2021;745
922;pysahdys;2022;742
922;pysahdys;2023;739
922;pysahdys;2024;736
922;pysahdys;2025;734
922;pysahdys;2026;731
922;pysahdys;2027;728
922;pysahdys;2028;725
922;pysahdys;2029;723
922;pysahdys;2030;720
922;pysahdys;2031;711
922;pysahdys;2032;701
922;pysahdys;2033;692
922;pysahdys;2034;683
922;pysahdys;2035;673
922;pysahdys;2036;664
922;pysahdys;2037;654
922;pysahdys;2038;645
922;pysahdys;2039;636
922;pysahdys;2040;626
922;pysahdys;2041;618
922;pysahdys;2042;609
922;pysahdys;2043;600
922;pysahdys;2044;591
922;pysahdys;2045;583
922;pysahdys;2046;574
922;pysahdys;2047;565
922;pysahdys;2048;556
922;pysahdys;2049;547
922;pysahdys;2050;539
837;wem;2017;500
837;wem;2018;500
837;wem;2019;500
837;wem;2020;498
837;wem;2021;495
837;wem;2022;493
837;wem;2023;491
837;wem;2024;489
837;wem;2025;486
837;wem;2026;484
837;wem;2027;482
837;wem;2028;480
837;wem;2029;477
837;wem;2030;475
837;wem;2031;473
837;wem;2032;470
837;wem;2033;468
837;wem;2034;466
837;wem;2035;463
837;wem;2036;461
837;wem;2037;458
837;wem;2038;456
837;wem;2039;454
837;wem;2040;451
837;wem;2041;449
837;wem;2042;447
837;wem;2043;444
837;wem;2044;442
837;wem;2045;440
837;wem;2046;438
837;wem;2047;435
837;wem;2048;433
837;wem;2049;431
837;wem;2050;429
837;eu80;2017;500
837;eu80;2018;500
837;eu80;2019;500
837;eu80;2020;496
837;eu80;2021;492
837;eu80;2022;488
837;eu80;2023;484
837;eu80;2024;480
837;eu80;2025;475
837;eu80;2026;471
837;eu80;2027;467
837;eu80;2028;463
837;eu80;2029;459
837;eu80;2030;455
837;eu80;2031;451
837;eu80;2032;447
837;eu80;2033;443
837;eu80;2034;439
837;eu80;2035;435
837;eu80;2036;430
837;eu80;2037;426
837;eu80;2038;422
837;eu80;2039;418
837;eu80;2040;414
837;eu80;2041;410
837;eu80;2042;407
837;eu80;2043;403
837;eu80;2044;399
837;eu80;2045;395
837;eu80;2046;392
837;eu80;2047;388
837;eu80;2048;384
837;eu80;2049;381
837;eu80;2050;377
837;kasvu;2017;500
837;kasvu;2018;500
837;kasvu;2019;500
837;kasvu;2020;496
837;kasvu;2021;492
837;kasvu;2022;488
837;kasvu;2023;484
837;kasvu;2024;480
837;kasvu;2025;475
837;kasvu;2026;471
837;kasvu;2027;467
837;kasvu;2028;463
837;kasvu;2029;459
837;kasvu;2030;455
837;kasvu;2031;451
837;kasvu;2032;447
837;kasvu;2033;443
837;kasvu;2034;439
837;kasvu;2035;435
837;kasvu;2036;430
837;kasvu;2037;426
837;kasvu;2038;422
837;kasvu;2039;418
837;kasvu;2040;414
837;kasvu;2041;410
837;kasvu;2042;407
837;kasvu;2043;403
837;kasvu;2044;399
837;kasvu;2045;395
837;kasvu;2046;392
837;kasvu;2047;388
837;kasvu;2048;384
837;kasvu;2049;381
837;kasvu;2050;377
837;muutos;2017;500
837;muutos;2018;500
837;muutos;2019;500
837;muutos;2020;494
837;muutos;2021;487
837;muutos;2022;481
837;muutos;2023;475
837;muutos;2024;468
837;muutos;2025;462
837;muutos;2026;455
837;muutos;2027;449
837;muutos;2028;443
837;muutos;2029;436
837;muutos;2030;430
837;muutos;2031;424
837;muutos;2032;418
837;muutos;2033;412
837;muutos;2034;406
837;muutos;2035;400
837;muutos;2036;394
837;muutos;2037;388
837;muutos;2038;382
837;muutos;2039;376
837;muutos;2040;370
837;muutos;2041;365
837;muutos;2042;359
837;muutos;2043;354
837;muutos;2044;349
837;muutos;2045;344
837;muutos;2046;339
837;muutos;2047;334
837;muutos;2048;328
837;muutos;2049;323
837;muutos;2050;318
837;saasto;2017;500
837;saasto;2018;500
837;saasto;2019;500
837;saasto;2020;493
837;saasto;2021;486
837;saasto;2022;480
837;saasto;2023;473
837;saasto;2024;466
837;saasto;2025;459
837;saasto;2026;452
837;saasto;2027;445
837;saasto;2028;439
837;saasto;2029;432
837;saasto;2030;425
837;saasto;2031;419
837;saasto;2032;412
837;saasto;2033;406
837;saasto;2034;400
837;saasto;2035;393
837;saasto;2036;387
837;saasto;2037;380
837;saasto;2038;374
837;saasto;2039;368
837;saasto;2040;361
837;saasto;2041;356
837;saasto;2042;350
837;saasto;2043;345
837;saasto;2044;340
837;saasto;2045;334
837;saasto;2046;329
837;saasto;2047;323
837;saasto;2048;318
837;saasto;2049;312
837;saasto;2050;307
837;pysahdys;2017;500
837;pysahdys;2018;500
837;pysahdys;2019;500
837;pysahdys;2020;498
837;pysahdys;2021;495
837;pysahdys;2022;493
837;pysahdys;2023;491
837;pysahdys;2024;489
837;pysahdys;2025;486
837;pysahdys;2026;484
837;pysahdys;2027;482
837;pysahdys;2028;480
837;pysahdys;2029;477
837;pysahdys;2030;475
837;pysahdys;2031;468
837;pysahdys;2032;462
837;pysahdys;2033;455
837;pysahdys;2034;448
837;pysahdys;2035;442
837;pysahdys;2036;435
837;pysahdys;2037;428
837;pysahdys;2038;422
837;pysahdys;2039;415
837;pysahdys;2040;409
837;pysahdys;2041;402
837;pysahdys;2042;396
837;pysahdys;2043;390
837;pysahdys;2044;384
837;pysahdys;2045;378
837;pysahdys;2046;372
837;pysahdys;2047;366
837;pysahdys;2048;359
837;pysahdys;2049;353
837;pysahdys;2050;347
604;wem;2017;600
604;wem;2018;600
604;wem;2019;600
604;wem;2020;598
604;wem;2021;596
604;wem;2022;593
604;wem;2023;591
604;wem;2024;589
604;wem;2025;587
604;wem;2026;585
604;wem;2027;583
604;wem;2028;580
604;wem;2029;578
604;wem;2030;576
604;wem;2031;574
604;wem;2032;571
604;wem;2033;569
604;wem;2034;567
604;wem;2035;564
604;wem;2036;562
604;wem;2037;560
604;wem;2038;558
604;wem;2039;555
604;wem;2040;553
604;wem;2041;551
604;wem;2042;549
604;wem;2043;546
604;wem;2044;544
604;wem;2045;542
604;wem;2046;540
604;wem;2047;537
604;wem;2048;535
604;wem;2049;533
604;wem;2050;531
604;eu80;2017;600
604;eu80;2018;600
604;eu80;2019;600
604;eu80;2020;596
604;eu80;2021;591
604;eu80;2022;587
604;eu80;2023;583
604;eu80;2024;578
604;eu80;2025;574
604;eu80;2026;569
604;eu80;2027;565
604;eu80;2028;561
604;eu80;2029;556
604;eu80;2030;552
604;eu80;2031;548
604;eu80;2032;543
604;eu80;2033;539
604;eu80;2034;534
604;eu80;2035;530
604;eu80;2036;526
604;eu80;2037;521
604;eu80;2038;517
604;eu80;2039;512
604;eu80;2040;508
604;eu80;2041;504
604;eu80;2042;500
604;eu80;2043;496
604;eu80;2044;492
604;eu80;2045;488
604;eu80;2046;483
604;eu80;2047;479
604;eu80;2048;475
604;eu80;2049;471
604;eu80;2050;467
604;kasvu;2017;600
604;kasvu;2018;600
604;kasvu;2019;600
604;kasvu;2020;596
604;kasvu;2021;591
604;kasvu;2022;587
604;kasvu;2023;583
604;kasvu;2024;578
604;kasvu;2025;574
604;kasvu;2026;569
604;kasvu;2027;565
604;kasvu;2028;561
604;kasvu;2029;556
604;kasvu;2030;552
604;kasvu;2031;548
604;kasvu;2032;543
604;kasvu;2033;539
604;kasvu;2034;534
604;kasvu;2035;530
604;kasvu;2036;526
604;kasvu;2037;521
604;kasvu;2038;517
604;kasvu;2039;512
604;kasvu;2040;508
604;kasvu;2041;504
604;kasvu;2042;500
604;kasvu;2043;496
604;kasvu;2044;492
604;kasvu;2045;488
604;kasvu;2046;483
604;kasvu;2047;479
604;kasvu;2048;475
604;kasvu;2049;471
604;kasvu;2050;467
604;muutos;2017;600
604;muutos;2018;600
604;muutos;2019;600
604;muutos;2020;593
604;muutos;2021;586
604;muutos;2022;579
604;muutos;2023;572
604;muutos;2024;565
604;muutos;2025;557
604;muutos;2026;550
604;muutos;2027;543
604;muutos;2028;536
604;muutos;2029;529
604;muutos;2030;522
604;muutos;2031;515
604;muutos;2032;508
604;muutos;2033;502
604;muutos;2034;495
604;muutos;2035;488
604;muutos;2036;481
604;muutos;2037;474
604;muutos;2038;468
604;muutos;2039;461
604;muutos;2040;454
604;muutos;2041;448
604;muutos;2042;442
604;muutos;2043;436
604;muutos;2044;431
604;muutos;2045;425
604;muutos;2046;419
604;muutos;2047;413
604;muutos;2048;407
604;muutos;2049;401
604;muutos;2050;395
604;saasto;2017;600
604;saasto;2018;600
604;saasto;2019;600
604;saasto;2020;592
604;saasto;2021;585
604;saasto;2022;577
604;saasto;2023;569
604;saasto;2024;562
604;saasto;2025;554
604;saasto;2026;547
604;saasto;2027;539
604;saasto;2028;531
604;saasto;2029;524
604;saasto;2030;516
604;saasto;2031;509
604;saasto;2032;502
604;saasto;2033;494
604;saasto;2034;487
604;saasto;2035;480
604;saasto;2036;473
604;saasto;2037;465
604;saasto;2038;458
604;saasto;2039;451
604;saasto;2040;444
604;saasto;2041;438
604;saasto;2042;431
604;saasto;2043;425
604;saasto;2044;419
604;saasto;2045;413
604;saasto;2046;406
604;saasto;2047;400
604;saasto;2048;394
604;saasto;2049;388
604;saasto;2050;382
604;pysahdys;2017;600
604;pysahdys;2018;600
604;pysahdys;2019;600
604;pysahdys;2020;598
604;pysahdys;2021;596
604;pysahdys;2022;593
604;pysahdys;2023;591
604;pysahdys;2024;589
604;pysahdys;2025;587
604;pysahdys;2026;585
604;pysahdys;2027;583
604;pysahdys;2028;580
604;pysahdys;2029;578
604;pysahdys;2030;576
604;pysahdys;2031;569
604;pysahdys;2032;561
604;pysahdys;2033;554
604;pysahdys;2034;546
604;pysahdys;2035;539
604;pysahdys;2036;531
604;pysahdys;2037;524
604;pysahdys;2038;516
604;pysahdys;2039;509
604;pysahdys;2040;501
604;pysahdys;2041;494
604;pysahdys;2042;487
604;pysahdys;2043;480
604;pysahdys;2044;473
604;pysahdys;2045;466
604;pysahdys;2046;459
604;pysahdys;2047;452
604;pysahdys;2048;445
604;pysahdys;2049;438
604;pysahdys;2050;431
562;wem;2017;700
562;wem;2018;700
562;wem;2019;700
562;wem;2020;697
562;wem;2021;695
562;wem;2022;692
562;wem;2023;690
562;wem;2024;687
562;wem;2025;685
562;wem;2026;682
562;wem;2027;680
562;wem;2028;677
562;wem;2029;675
562;wem;2030;672
562;wem;2031;669
562;wem;2032;667
562;wem;2033;664
562;wem;2034;661
562;wem;2035;659
562;wem;2036;656
562;wem;2037;653
562;wem;2038;650
562;wem;2039;648
562;wem;2040;645
562;wem;2041;643
562;wem;2042;640
562;wem;2043;637
562;wem;2044;635
562;wem;2045;632
562;wem;2046;630
562;wem;2047;627
562;wem;2048;624
562;wem;2049;622
562;wem;2050;619
562;eu80;2017;700
562;eu80;2018;700
562;eu80;2019;700
562;eu80;2020;695
562;eu80;2021;690
562;eu80;2022;685
562;eu80;2023;680
562;eu80;2024;675
562;eu80;2025;669
562;eu80;2026;664
562;eu80;2027;659
562;eu80;2028;654
562;eu80;2029;649
562;eu80;2030;644
562;eu80;2031;639
562;eu80;2032;634
562;eu80;2033;629
562;eu80;2034;623
562;eu80;2035;618
562;eu80;2036;613
562;eu80;2037;608
562;eu80;2038;603
562;eu80;2039;598
562;eu80;2040;592
562;eu80;2041;588
562;eu80;2042;583
562;eu80;2043;578
562;eu80;2044;574
562;eu80;2045;569
562;eu80;2046;564
562;eu80;2047;559
562;eu80;2048;555
562;eu80;2049;550
562;eu80;2050;545
562;kasvu;2017;700
562;kasvu;2018;700
562;kasvu;2019;700
562;kasvu;2020;695
562;kasvu;2021;690
562;kasvu;2022;685
562;kasvu;2023;680
562;kasvu;2024;675
562;kasvu;2025;669
