mun;scenario;year;sahko_koti_as
211;wem;2022;643
211;wem;2023;641
211;wem;2024;638
211;wem;2025;636
211;wem;2026;633
211;wem;2027;631
211;wem;2028;629
211;wem;2029;626
211;wem;2030;624
211;wem;2031;622
211;wem;2032;619
211;wem;2033;617
211;wem;2034;614
211;wem;2035;612
211;wem;2036;609
211;wem;2037;607
211;wem;2038;604
211;wem;2039;602
211;wem;2040;599
211;wem;2041;597
211;wem;2042;594
211;wem;2043;592
211;wem;2044;589
211;wem;2045;587
211;wem;2046;585
211;wem;2047;582
211;wem;2048;580
211;wem;2049;577
211;wem;2050;575
211;eu80;2017;650
211;eu80;2018;650
211;eu80;2019;650
211;eu80;2020;645
211;eu80;2021;641
211;eu80;2022;636
211;eu80;2023;631
211;eu80;2024;626
211;eu80;2025;622
211;eu80;2026;617
211;eu80;2027;612
211;eu80;2028;607
211;eu80;2029;603
211;eu80;2030;598
211;eu80;2031;593
211;eu80;2032;588
211;eu80;2033;584
211;eu80;2034;579
211;eu80;2035;574
211;eu80;2036;569
211;eu80;2037;565
211;eu80;2038;560
211;eu80;2039;555
211;eu80;2040;550
211;eu80;2041;546
211;eu80;2042;541
211;eu80;2043;537
211;eu80;2044;533
211;eu80;2045;528
211;eu80;2046;524
211;eu80;2047;519
211;eu80;2048;515
211;eu80;2049;511
211;eu80;2050;506
211;kasvu;2017;650
211;kasvu;2018;650
211;kasvu;2019;650
211;kasvu;2020;645
211;kasvu;2021;641
211;kasvu;2022;636
211;kasvu;2023;631
211;kasvu;2024;626
211;kasvu;2025;622
211;kasvu;2026;617
211;kasvu;2027;612
211;kasvu;2028;607
211;kasvu;2029;603
211;kasvu;2030;598
211;kasvu;2031;593
211;kasvu;2032;588
211;kasvu;2033;584
211;kasvu;2034;579
211;kasvu;2035;574
211;kasvu;2036;569
211;kasvu;2037;565
211;kasvu;2038;560
211;kasvu;2039;555
211;kasvu;2040;550
211;kasvu;2041;546
211;kasvu;2042;541
211;kasvu;2043;537
211;kasvu;2044;533
211;kasvu;2045;528
211;kasvu;2046;524
211;kasvu;2047;519
211;kasvu;2048;515
211;kasvu;2049;511
211;kasvu;2050;506
211;muutos;2017;650
211;muutos;2018;650
211;muutos;2019;650
211;muutos;2020;642
211;muutos;2021;635
211;muutos;2022;627
211;muutos;2023;619
211;muutos;2024;612
211;muutos;2025;604
211;muutos;2026;596
211;muutos;2027;589
211;muutos;2028;581
211;muutos;2029;573
211;muutos;2030;566
211;muutos;2031;558
211;muutos;2032;551
211;muutos;2033;543
211;muutos;2034;536
211;muutos;2035;529
211;muutos;2036;521
211;muutos;2037;514
211;muutos;2038;507
211;muutos;2039;499
211;muutos;2040;492
211;muutos;2041;486
211;muutos;2042;479
211;muutos;2043;473
211;muutos;2044;466
211;muutos;2045;460
211;muutos;2046;454
211;muutos;2047;447
211;muutos;2048;441
211;muutos;2049;434
211;muutos;2050;428
211;saasto;2017;650
211;saasto;2018;650
211;saasto;2019;650
211;saasto;2020;642
211;saasto;2021;633
211;saasto;2022;625
211;saasto;2023;617
211;saasto;2024;609
211;saasto;2025;600
211;saasto;2026;592
211;saasto;2027;584
211;saasto;2028;576
211;saasto;2029;567
211;saasto;2030;559
211;saasto;2031;551
211;saasto;2032;543
211;saasto;2033;536
211;saasto;2034;528
211;saasto;2035;520
211;saasto;2036;512
211;saasto;2037;504
211;saasto;2038;496
211;saasto;2039;489
211;saasto;2040;481
211;saasto;2041;474
211;saasto;2042;467
211;saasto;2043;461
211;saasto;2044;454
211;saasto;2045;447
211;saasto;2046;440
211;saasto;2047;434
211;saasto;2048;427
211;saasto;2049;420
211;saasto;2050;413
211;pysahdys;2017;650
211;pysahdys;2018;650
211;pysahdys;2019;650
211;pysahdys;2020;648
211;pysahdys;2021;645
211;pysahdys;2022;643
211;pysahdys;2023;641
211;pysahdys;2024;638
211;pysahdys;2025;636
211;pysahdys;2026;633
211;pysahdys;2027;631
211;pysahdys;2028;629
211;pysahdys;2029;626
211;pysahdys;2030;624
211;pysahdys;2031;616
211;pysahdys;2032;608
211;pysahdys;2033;600
211;pysahdys;2034;592
211;pysahdys;2035;583
211;pysahdys;2036;575
211;pysahdys;2037;567
211;pysahdys;2038;559
211;pysahdys;2039;551
211;pysahdys;2040;543
211;pysahdys;2041;535
211;pysahdys;2042;528
211;pysahdys;2043;520
211;pysahdys;2044;512
211;pysahdys;2045;505
211;pysahdys;2046;497
211;pysahdys;2047;490
211;pysahdys;2048;482
211;pysahdys;2049;474
211;pysahdys;2050;467
418;wem;2017;600
418;wem;2018;600
418;wem;2019;600
418;wem;2020;598
418;wem;2021;596
418;wem;2022;593
418;wem;2023;591
418;wem;2024;589
418;wem;2025;587
418;wem;2026;585
418;wem;2027;583
418;wem;2028;580
418;wem;2029;578
418;wem;2030;576
418;wem;2031;574
418;wem;2032;571
418;wem;2033;569
418;wem;2034;567
418;wem;2035;564
418;wem;2036;562
418;wem;2037;560
418;wem;2038;558
418;wem;2039;555
418;wem;2040;553
418;wem;2041;551
418;wem;2042;549
418;wem;2043;546
418;wem;2044;544
418;wem;2045;542
418;wem;2046;540
418;wem;2047;537
418;wem;2048;535
418;wem;2049;533
418;wem;2050;531
418;eu80;2017;600
418;eu80;2018;600
418;eu80;2019;600
418;eu80;2020;596
418;eu80;2021;591
418;eu80;2022;587
418;eu80;2023;583
418;eu80;2024;578
418;eu80;2025;574
418;eu80;2026;569
418;eu80;2027;565
418;eu80;2028;561
418;eu80;2029;556
418;eu80;2030;552
418;eu80;2031;548
418;eu80;2032;543
418;eu80;2033;539
418;eu80;2034;534
418;eu80;2035;530
418;eu80;2036;526
418;eu80;2037;521
418;eu80;2038;517
418;eu80;2039;512
418;eu80;2040;508
418;eu80;2041;504
418;eu80;2042;500
418;eu80;2043;496
418;eu80;2044;492
418;eu80;2045;488
418;eu80;2046;483
418;eu80;2047;479
418;eu80;2048;475
418;eu80;2049;471
418;eu80;2050;467
418;kasvu;2017;600
418;kasvu;2018;600
418;kasvu;2019;600
418;kasvu;2020;596
418;kasvu;2021;591
418;kasvu;2022;587
418;kasvu;2023;583
418;kasvu;2024;578
418;kasvu;2025;574
418;kasvu;2026;569
418;kasvu;2027;565
418;kasvu;2028;561
418;kasvu;2029;556
418;kasvu;2030;552
418;kasvu;2031;548
418;kasvu;2032;543
418;kasvu;2033;539
418;kasvu;2034;534
418;kasvu;2035;530
418;kasvu;2036;526
418;kasvu;2037;521
418;kasvu;2038;517
418;kasvu;2039;512
418;kasvu;2040;508
418;kasvu;2041;504
418;kasvu;2042;500
418;kasvu;2043;496
418;kasvu;2044;492
418;kasvu;2045;488
418;kasvu;2046;483
418;kasvu;2047;479
418;kasvu;2048;475
418;kasvu;2049;471
418;kasvu;2050;467
418;muutos;2017;600
418;muutos;2018;600
418;muutos;2019;600
418;muutos;2020;593
418;muutos;2021;586
418;muutos;2022;579
418;muutos;2023;572
418;muutos;2024;565
418;muutos;2025;557
418;muutos;2026;550
418;muutos;2027;543
418;muutos;2028;536
418;muutos;2029;529
418;muutos;2030;522
418;muutos;2031;515
418;muutos;2032;508
418;muutos;2033;502
418;muutos;2034;495
418;muutos;2035;488
418;muutos;2036;481
418;muutos;2037;474
418;muutos;2038;468
418;muutos;2039;461
418;muutos;2040;454
418;muutos;2041;448
418;muutos;2042;442
418;muutos;2043;436
418;muutos;2044;431
418;muutos;2045;425
418;muutos;2046;419
418;muutos;2047;413
418;muutos;2048;407
418;muutos;2049;401
418;muutos;2050;395
418;saasto;2017;600
418;saasto;2018;600
418;saasto;2019;600
418;saasto;2020;592
418;saasto;2021;585
418;saasto;2022;577
418;saasto;2023;569
418;saasto;2024;562
418;saasto;2025;554
418;saasto;2026;547
418;saasto;2027;539
418;saasto;2028;531
418;saasto;2029;524
418;saasto;2030;516
418;saasto;2031;509
418;saasto;2032;502
418;saasto;2033;494
418;saasto;2034;487
418;saasto;2035;480
418;saasto;2036;473
418;saasto;2037;465
418;saasto;2038;458
418;saasto;2039;451
418;saasto;2040;444
418;saasto;2041;438
418;saasto;2042;431
418;saasto;2043;425
418;saasto;2044;419
418;saasto;2045;413
418;saasto;2046;406
418;saasto;2047;400
418;saasto;2048;394
418;saasto;2049;388
418;saasto;2050;382
418;pysahdys;2017;600
418;pysahdys;2018;600
418;pysahdys;2019;600
418;pysahdys;2020;598
418;pysahdys;2021;596
418;pysahdys;2022;593
418;pysahdys;2023;591
418;pysahdys;2024;589
418;pysahdys;2025;587
418;pysahdys;2026;585
418;pysahdys;2027;583
418;pysahdys;2028;580
418;pysahdys;2029;578
418;pysahdys;2030;576
418;pysahdys;2031;569
418;pysahdys;2032;561
418;pysahdys;2033;554
418;pysahdys;2034;546
418;pysahdys;2035;539
418;pysahdys;2036;531
418;pysahdys;2037;524
418;pysahdys;2038;516
418;pysahdys;2039;509
418;pysahdys;2040;501
418;pysahdys;2041;494
418;pysahdys;2042;487
418;pysahdys;2043;480
418;pysahdys;2044;473
418;pysahdys;2045;466
418;pysahdys;2046;459
418;pysahdys;2047;452
418;pysahdys;2048;445
418;pysahdys;2049;438
418;pysahdys;2050;431
