mun;mun_name;degreedays;multiplier
583;Pelkosenniemi;6180;1.01
854;Pello;6180;1.05
584;Perho;4832;0.98
588;Pertunmaa;4510;1
592;Petäjävesi;4832;1.01
593;Pieksämäki;4825;1
595;Pielavesi;4825;0.97
598;Pietarsaari;4469;0.98
601;Pihtipudas;5304;1.07
604;Pirkkala;4424;1.01
607;Polvijärvi;4984;0.99
608;Pomarkku;4424;1.02
609;Pori;4161;0.99
611;Pornainen;4097;0.97
638;Porvoo;4097;0.99
614;Posio;6180;1.04
615;Pudasjärvi;5304;0.95
616;Pukkila;4392;1.02
619;Punkalaidun;4424;1.02
620;Puolanka;5304;0.96
623;Puumala;4510;0.99
624;Pyhtää;4097;0.98
625;Pyhäjoki;5057;1.03
626;Pyhäjärvi;5304;1.05
630;Pyhäntä;5304;1.02
631;Pyhäranta;4021;1
635;Pälkäne;4424;1
636;Pöytyä;4021;0.97
678;Raahe;5057;1.01
710;Raasepori;3878;0.98
680;Raisio;4021;1.02
681;Rantasalmi;4825;1.03
683;Ranua;6180;1.09
684;Rauma;4161;1.02
686;Rautalampi;4825;1
687;Rautavaara;5304;1.02
689;Rautjärvi;4510;0.96
691;Reisjärvi;4832;0.97
694;Riihimäki;4392;1.01
697;Ristijärvi;5304;0.97
698;Rovaniemi;6180;1.06
700;Ruokolahti;4510;0.97
702;Ruovesi;4424;0.95
704;Rusko;4021;0.98
707;Rääkkylä;4984;1.03
729;Saarijärvi;4832;0.99
732;Salla;6180;0.99
734;Salo;4021;0.99
736;Saltvik;3803;1.01
790;Sastamala;4424;1.01
738;Sauvo;4021;1.01
739;Savitaipale;4510;1.01
740;Savonlinna;4984;1.06
742;Savukoski;6180;0.98
743;Seinäjoki;4424;0.95
746;Sievi;4832;0.97
747;Siikainen;4424;1.02
748;Siikajoki;5057;1
791;Siikalatva;5057;0.98
749;Siilinjärvi;4825;0.98
751;Simo;5057;0.93
753;Sipoo;4097;1
755;Siuntio;4097;1.02
758;Sodankylä;6180;0.97
759;Soini;4832;0.98
761;Somero;4392;1.03
762;Sonkajärvi;5304;1.03
765;Sotkamo;5304;0.99
766;Sottunga;3803;1.03
768;Sulkava;4510;0.97
771;Sund;3803;1.02
777;Suomussalmi;5304;0.93
778;Suonenjoki;4825;1
781;Sysmä;4392;0.99
783;Säkylä;4161;1
831;Taipalsaari;4510;1.01
832;Taivalkoski;5304;0.91
833;Taivassalo;4021;1.03
834;Tammela;4392;1.02
837;Tampere;4424;1
844;Tervo;4825;0.99
845;Tervola;5057;0.91
846;Teuva;4469;0.99
848;Tohmajärvi;4984;1
849;Toholampi;4832;0.97
850;Toivakka;4832;1.02
851;Tornio;5057;0.91
853;Turku;4021;1.02
857;Tuusniemi;4825;0.99
858;Tuusula;4097;0.98
859;Tyrnävä;5057;0.98
886;Ulvila;4161;0.98
887;Urjala;4424;1.01
889;Utajärvi;5304;0.99
890;Utsjoki;6231;0.93
892;Uurainen;4832;0.99
893;Uusikaarlepyy;4469;0.97
895;Uusikaupunki;4021;1.02
785;Vaala;5304;1
905;Vaasa;4469;1
908;Valkeakoski;4424;1.02
092;Vantaa;4097;1.01
915;Varkaus;4825;1.02
918;Vehmaa;4021;1.01
921;Vesanto;4832;0.98
922;Vesilahti;4424;1.01
924;Veteli;4832;1
925;Vieremä;5304;1.03
927;Vihti;4097;0.96
931;Viitasaari;4832;1
934;Vimpeli;4832;1
935;Virolahti;4510;1.04
936;Virrat;4832;1.02
941;Vårdö;3803;1.03
946;Vöyri;4469;0.99
976;Ylitornio;6180;1.08
977;Ylivieska;5057;1.01
980;Ylöjärvi;4424;0.97
981;Ypäjä;4392;1.03
989;Ähtäri;4832;0.99
992;Äänekoski;4832;1
