scenario;rakennus_tyyppi;lammitysmuoto;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
wemp;tsto;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;tsto;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;liiken;kaukolampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;liiken;kevyt_oljy;0.0091;-0.0455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0364;0.0000
wemp;liiken;raskas_oljy;0.0091;0.0000;-0.0455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0364;0.0000
wemp;liiken;kaasu;0.0059;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0238;0.0000
wemp;liiken;sahko;0.0009;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0084;0.0000
wemp;liiken;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;liiken;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0455;0.0000;0.0455;0.0000
wemp;liiken;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0455;0.0455;0.0000
wemp;liiken;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;liiken;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;hoito;kaukolampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;hoito;kevyt_oljy;0.0091;-0.0455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0364;0.0000
wemp;hoito;raskas_oljy;0.0091;0.0000;-0.0455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0364;0.0000
wemp;hoito;kaasu;0.0059;0.0000;0.0000;-0.0297;0.0000;0.0000;0.0000;0.0000;0.0238;0.0000
wemp;hoito;sahko;0.0009;0.0000;0.0000;0.0000;-0.0094;0.0000;0.0000;0.0000;0.0084;0.0000
wemp;hoito;puu;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;hoito;turve;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0455;0.0000;0.0455;0.0000
wemp;hoito;hiili;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0455;0.0455;0.0000
wemp;hoito;maalampo;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;hoito;muu_lammitys;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
wemp;kokoon;kaukolampo;-0.0016;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0016;0.0000
wemp;kokoon;kevyt_oljy;0.0091;-0.0455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0364;0.0000
