mun;scenario;year;gco2kwh
562;wemp;2019;126
562;wemp;2020;109
562;wemp;2021;101
562;wemp;2022;94
562;wemp;2023;21
562;wemp;2024;42
562;wemp;2025;43
562;wemp;2026;40
562;wemp;2027;37
562;wemp;2028;35
562;wemp;2029;32
562;wemp;2030;29
562;wemp;2031;28
562;wemp;2032;26
562;wemp;2033;24
562;wemp;2034;23
562;wemp;2035;20
562;wemp;2036;22
562;wemp;2037;20
562;wemp;2038;18
562;wemp;2039;17
562;wemp;2040;17
562;wemp;2041;17
562;wemp;2042;17
562;wemp;2043;17
562;wemp;2044;17
562;wemp;2045;17
562;wemp;2046;17
562;wemp;2047;17
562;wemp;2048;17
562;wemp;2049;17
562;wemp;2050;17
562;wemh;2018;144
562;wemh;2019;126
562;wemh;2020;109
562;wemh;2021;101
562;wemh;2022;94
562;wemh;2023;21
562;wemh;2024;42
562;wemh;2025;43
562;wemh;2026;40
562;wemh;2027;37
562;wemh;2028;35
562;wemh;2029;32
562;wemh;2030;29
562;wemh;2031;28
562;wemh;2032;26
562;wemh;2033;24
562;wemh;2034;23
562;wemh;2035;20
562;wemh;2036;22
562;wemh;2037;20
562;wemh;2038;18
562;wemh;2039;17
562;wemh;2040;17
562;wemh;2041;17
562;wemh;2042;17
562;wemh;2043;17
562;wemh;2044;17
562;wemh;2045;17
562;wemh;2046;17
562;wemh;2047;17
562;wemh;2048;17
562;wemh;2049;17
562;wemh;2050;17
562;weml;2018;144
562;weml;2019;126
562;weml;2020;109
562;weml;2021;101
562;weml;2022;94
562;weml;2023;21
562;weml;2024;42
562;weml;2025;43
562;weml;2026;40
562;weml;2027;37
562;weml;2028;35
562;weml;2029;32
562;weml;2030;29
562;weml;2031;28
562;weml;2032;26
562;weml;2033;24
562;weml;2034;23
562;weml;2035;20
562;weml;2036;22
562;weml;2037;20
562;weml;2038;18
562;weml;2039;17
562;weml;2040;17
562;weml;2041;17
562;weml;2042;17
562;weml;2043;17
562;weml;2044;17
562;weml;2045;17
