vuosi;kunta;xyind;v_yht;v_0_6;v_7_14;v_15_17;v_18_29;v_30_49;v_50_64;v_65_74;v_75
2019;790;2848756829125;3;0;0;0;1;0;1;0;1
2019;790;2858756829125;2;0;0;0;0;0;1;1;0
2019;790;2876256829125;3;0;0;0;0;0;1;0;2
2019;790;2926256829125;2;0;0;1;0;0;1;0;0
2019;790;2938756829125;1;0;0;0;0;0;0;1;0
2019;790;2646256829375;3;1;0;0;2;0;0;0;0
2019;790;2651256829375;2;0;0;0;0;0;0;1;1
2019;790;2658756829375;3;0;0;0;0;0;1;1;1
2019;790;2668756829375;2;0;0;0;0;0;0;0;2
2019;790;2746256829375;2;0;0;0;0;0;0;2;0
2019;790;2781256829375;2;0;0;0;0;1;1;0;0
2019;790;2843756829375;5;1;1;0;1;1;0;0;1
2019;790;2853756829375;2;0;0;0;0;0;1;1;0
2019;790;2856256829375;2;0;0;0;0;0;0;0;2
2019;790;2876256829375;6;1;0;1;1;3;0;0;0
2019;790;2891256829375;2;0;0;0;0;0;0;2;0
2019;790;2896256829375;5;0;1;0;0;3;1;0;0
2019;790;2926256829375;1;0;0;0;1;0;0;0;0
2019;790;2633756829625;1;0;0;0;0;0;0;1;0
2019;790;2656256829625;2;0;0;0;1;0;1;0;0
2019;790;2746256829625;1;0;0;0;0;0;0;1;0
2019;790;2821256829625;5;0;3;0;0;2;0;0;0
2019;790;2823756829625;6;1;2;0;1;2;0;0;0
2019;790;2848756829625;1;0;0;0;0;0;0;1;0
2019;790;2853756829625;2;0;0;0;1;1;0;0;0
2019;790;2873756829625;3;0;0;0;0;0;0;1;2
2019;790;2878756829625;4;0;2;0;0;1;1;0;0
2019;790;2881256829625;2;0;0;0;1;0;0;1;0
2019;790;2886256829625;5;0;0;0;0;2;0;1;2
2019;790;2891256829625;6;0;2;0;0;4;0;0;0
2019;790;2668756829875;5;1;2;0;0;2;0;0;0
2019;790;2678756829875;1;0;0;0;0;0;1;0;0
2019;790;2746256829875;4;0;0;0;1;1;0;2;0
2019;790;2821256829875;4;0;0;0;0;0;1;3;0
2019;790;2841256829875;8;1;1;0;0;5;0;0;1
2019;790;2848756829875;3;0;0;0;0;1;0;2;0
2019;790;2851256829875;6;0;1;1;1;1;2;0;0
2019;790;2883756829875;4;0;0;0;2;0;2;0;0
2019;790;2886256829875;5;0;0;1;0;1;1;0;2
2019;790;2643756830125;5;0;1;1;0;2;0;0;1
2019;790;2653756830125;1;0;0;0;0;0;1;0;0
2019;790;2753756830125;3;0;0;0;0;1;1;1;0
2019;790;2838756830125;1;0;0;0;0;0;1;0;0
2019;790;2846256830125;5;0;0;0;0;0;0;5;0
2019;790;2851256830125;8;0;0;1;2;1;3;1;0
2019;790;2853756830125;3;0;0;0;0;1;2;0;0
2019;790;2868756830125;3;0;0;0;0;0;2;1;0
2019;790;2886256830125;4;0;0;0;0;1;2;0;1
2019;790;2643756830375;4;0;1;0;1;2;0;0;0
2019;790;2686256830375;1;0;0;0;0;0;0;0;1
2019;790;2738756830375;3;0;0;0;1;0;2;0;0
2019;790;2741256830375;1;0;0;0;0;0;0;1;0
2019;790;2823756830375;1;0;0;0;0;0;0;1;0
2019;790;2848756830375;2;0;0;0;0;0;0;2;0
