mun;scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
980;wem;2029;muu;0;0;0;0;0;0;0;0;1
980;wem;2029;pauto;0.008;0;0.948;0.006;0.014;0;0.019;0;0
980;wem;2029;kauto;0;0;0.952;0;0;0.024;0.024;0;0
980;wem;2030;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2030;bussi;0;0;0.903;0.023;0;0;0.074;0;0
980;wem;2030;raide;0;0;0;0;0;0;1;0;0
980;wem;2030;hlauto;0.525;0;0.411;0.008;0.036;0.003;0.017;0;0
980;wem;2030;muu;0;0;0;0;0;0;0;0;1
980;wem;2030;pauto;0.006;0;0.943;0.006;0.018;0;0.021;0;0
980;wem;2030;kauto;0;0;0.946;0;0;0.027;0.027;0;0
980;wem;2031;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2031;bussi;0;0;0.893;0.026;0;0;0.078;0.002;0
980;wem;2031;raide;0;0;0;0;0;0;1;0;0
980;wem;2031;hlauto;0.505;0.002;0.406;0.01;0.044;0.008;0.021;0.003;0
980;wem;2031;muu;0;0;0;0;0;0;0;0;1
980;wem;2031;pauto;0.006;0;0.918;0.009;0.024;0;0.026;0.002;0
980;wem;2031;kauto;0;0;0.931;0.003;0;0.036;0.031;0;0
980;wem;2032;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2032;bussi;0;0;0.883;0.03;0;0;0.083;0.003;0
980;wem;2032;raide;0;0;0;0;0;0;1;0;0
980;wem;2032;hlauto;0.485;0.004;0.402;0.012;0.053;0.013;0.026;0.005;0
980;wem;2032;muu;0;0;0;0;0;0;0;0;1
980;wem;2032;pauto;0.005;0;0.892;0.011;0.03;0;0.03;0.005;0
980;wem;2032;kauto;0;0;0.916;0.005;0;0.045;0.034;0;0
980;wem;2033;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2033;bussi;0;0;0.874;0.034;0;0;0.088;0.005;0
980;wem;2033;raide;0;0;0;0;0;0;1;0;0
980;wem;2033;hlauto;0.465;0.005;0.397;0.014;0.062;0.018;0.031;0.008;0
980;wem;2033;muu;0;0;0;0;0;0;0;0;1
980;wem;2033;pauto;0.005;0;0.866;0.013;0.035;0;0.034;0.007;0
980;wem;2033;kauto;0;0;0.901;0.008;0;0.053;0.038;0;0
980;wem;2034;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2034;bussi;0;0;0.864;0.037;0;0;0.092;0.007;0
980;wem;2034;raide;0;0;0;0;0;0;1;0;0
980;wem;2034;hlauto;0.445;0.007;0.393;0.015;0.071;0.023;0.035;0.011;0
980;wem;2034;muu;0;0;0;0;0;0;0;0;1
980;wem;2034;pauto;0.005;0;0.841;0.015;0.041;0;0.039;0.01;0
980;wem;2034;kauto;0;0;0.886;0.01;0;0.062;0.042;0;0
980;wem;2035;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2035;bussi;0;0;0.854;0.041;0;0;0.097;0.008;0
980;wem;2035;raide;0;0;0;0;0;0;1;0;0
980;wem;2035;hlauto;0.425;0.008;0.388;0.017;0.079;0.028;0.04;0.013;0
980;wem;2035;muu;0;0;0;0;0;0;0;0;1
980;wem;2035;pauto;0.005;0;0.815;0.017;0.047;0;0.043;0.012;0
980;wem;2035;kauto;0;0;0.871;0.013;0;0.07;0.046;0;0
980;wem;2036;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2036;bussi;0;0;0.846;0.045;0;0;0.101;0.008;0
980;wem;2036;raide;0;0;0;0;0;0;1;0;0
980;wem;2036;hlauto;0.412;0.008;0.384;0.017;0.088;0.033;0.044;0.014;0
980;wem;2036;muu;0;0;0;0;0;0;0;0;1
980;wem;2036;pauto;0.004;0;0.789;0.019;0.055;0;0.047;0.012;0
980;wem;2036;kauto;0;0;0.858;0.015;0;0.079;0.048;0;0
980;wem;2037;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2037;bussi;0;0;0.838;0.048;0;0;0.106;0.008;0
980;wem;2037;raide;0;0;0;0;0;0;1;0;0
980;wem;2037;hlauto;0.387;0.008;0.378;0.017;0.096;0.038;0.061;0.015;0
980;wem;2037;muu;0;0;0;0;0;0;0;0;1
980;wem;2037;pauto;0.004;0;0.764;0.022;0.063;0;0.051;0.013;0
980;wem;2037;kauto;0;0;0.844;0.018;0;0.088;0.051;0;0
980;wem;2038;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2038;bussi;0;0;0.829;0.052;0;0;0.112;0.008;0
980;wem;2038;raide;0;0;0;0;0;0;1;0;0
980;wem;2038;hlauto;0.362;0.008;0.372;0.016;0.104;0.043;0.079;0.016;0
980;wem;2038;muu;0;0;0;0;0;0;0;0;1
980;wem;2038;pauto;0.004;0;0.738;0.024;0.07;0;0.056;0.013;0
980;wem;2038;kauto;0;0;0.829;0.02;0;0.096;0.054;0;0
980;wem;2039;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2039;bussi;0;0;0.819;0.055;0;0;0.118;0.007;0
980;wem;2039;raide;0;0;0;0;0;0;1;0;0
980;wem;2039;hlauto;0.338;0.007;0.366;0.016;0.112;0.048;0.096;0.017;0
980;wem;2039;muu;0;0;0;0;0;0;0;0;1
980;wem;2039;pauto;0.003;0;0.712;0.026;0.076;0;0.062;0.014;0
980;wem;2039;kauto;0;0;0.815;0.023;0;0.105;0.058;0;0
980;wem;2040;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2040;bussi;0;0;0.808;0.059;0;0;0.126;0.007;0
980;wem;2040;raide;0;0;0;0;0;0;1;0;0
980;wem;2040;hlauto;0.313;0.007;0.36;0.015;0.12;0.052;0.114;0.018;0
980;wem;2040;muu;0;0;0;0;0;0;0;0;1
980;wem;2040;pauto;0.003;0;0.687;0.028;0.081;0;0.069;0.014;0
980;wem;2040;kauto;0;0;0.799;0.025;0;0.114;0.062;0;0
980;wem;2041;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2041;bussi;0;0;0.795;0.063;0;0;0.136;0.007;0
980;wem;2041;raide;0;0;0;0;0;0;1;0;0
980;wem;2041;hlauto;0.288;0.007;0.354;0.015;0.128;0.057;0.131;0.02;0
980;wem;2041;muu;0;0;0;0;0;0;0;0;1
980;wem;2041;pauto;0.003;0;0.661;0.03;0.085;0;0.077;0.015;0
980;wem;2041;kauto;0;0;0.784;0.028;0;0.122;0.067;0;0
980;wem;2042;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2042;bussi;0;0;0.78;0.066;0;0;0.147;0.007;0
980;wem;2042;raide;0;0;0;0;0;0;1;0;0
980;wem;2042;hlauto;0.263;0.007;0.348;0.014;0.136;0.062;0.148;0.021;0
980;wem;2042;muu;0;0;0;0;0;0;0;0;1
980;wem;2042;pauto;0.002;0;0.635;0.033;0.088;0;0.087;0.015;0
980;wem;2042;kauto;0;0;0.767;0.03;0;0.131;0.072;0;0
980;wem;2043;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2043;bussi;0;0;0.764;0.07;0;0;0.16;0.006;0
980;wem;2043;raide;0;0;0;0;0;0;1;0;0
980;wem;2043;hlauto;0.239;0.007;0.343;0.014;0.144;0.067;0.166;0.022;0
980;wem;2043;muu;0;0;0;0;0;0;0;0;1
980;wem;2043;pauto;0.002;0;0.61;0.035;0.089;0;0.098;0.016;0
980;wem;2043;kauto;0;0;0.75;0.033;0;0.14;0.078;0;0
980;wem;2044;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2044;bussi;0;0;0.745;0.073;0;0;0.176;0.006;0
980;wem;2044;raide;0;0;0;0;0;0;1;0;0
980;wem;2044;hlauto;0.214;0.006;0.337;0.013;0.152;0.071;0.183;0.023;0
980;wem;2044;muu;0;0;0;0;0;0;0;0;1
980;wem;2044;pauto;0.002;0;0.584;0.037;0.088;0;0.111;0.016;0
980;wem;2044;kauto;0;0;0.732;0.035;0;0.148;0.085;0;0
980;wem;2045;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2045;bussi;0;0;0.723;0.077;0;0;0.194;0.006;0
980;wem;2045;raide;0;0;0;0;0;0;1;0;0
980;wem;2045;hlauto;0.189;0.006;0.331;0.013;0.161;0.076;0.2;0.024;0
980;wem;2045;muu;0;0;0;0;0;0;0;0;1
980;wem;2045;pauto;0.002;0;0.558;0.039;0.085;0;0.126;0.017;0
980;wem;2045;kauto;0;0;0.713;0.038;0;0.157;0.093;0;0
980;wem;2046;jalkapyora;0;0;0;0;0;0;0;0;0
980;wem;2046;bussi;0;0;0.698;0.081;0;0;0.216;0.006;0
980;wem;2046;raide;0;0;0;0;0;0;1;0;0
980;wem;2046;hlauto;0.165;0.006;0.325;0.012;0.169;0.081;0.218;0.025;0
980;wem;2046;muu;0;0;0;0;0;0;0;0;1
