scenario;year;kmuoto;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll
kasvu;2017;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
kasvu;2017;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
kasvu;2018;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
kasvu;2018;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
kasvu;2019;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
kasvu;2019;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
kasvu;2020;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
kasvu;2020;kauto;22;68;46;66;74;68;38;49;49;24;39;37;39;37;35;164
kasvu;2021;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;26;12
kasvu;2021;kauto;22;69;47;66;74;68;38;50;50;24;40;37;39;37;36;165
kasvu;2022;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;26;12
kasvu;2022;kauto;22;70;47;67;75;69;38;50;50;24;40;37;40;38;36;166
kasvu;2023;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;26;12
kasvu;2023;kauto;23;70;48;68;76;70;39;51;51;25;41;38;40;38;36;169
kasvu;2024;pauto;0;7;14;0;0;4;1;0;6;6;12;0;1;1;26;13
kasvu;2024;kauto;23;71;48;68;77;70;39;51;51;25;41;38;41;38;37;170
kasvu;2025;pauto;0;7;14;0;0;4;1;0;6;6;12;0;1;1;27;13
kasvu;2025;kauto;23;72;49;69;77;71;40;52;52;25;41;38;41;39;37;172
kasvu;2026;pauto;0;7;14;0;0;4;1;0;7;6;12;0;1;1;27;13
kasvu;2026;kauto;23;73;49;70;78;72;40;52;52;25;42;39;41;39;38;173
kasvu;2027;pauto;0;7;14;0;0;4;1;0;7;6;12;0;1;1;27;13
kasvu;2027;kauto;23;73;50;70;79;72;40;53;53;26;42;39;42;40;38;175
kasvu;2028;pauto;0;7;14;0;0;4;1;0;7;6;13;0;1;1;27;13
kasvu;2028;kauto;24;74;50;71;80;73;41;53;53;26;43;40;42;40;38;177
kasvu;2029;pauto;0;7;14;0;0;4;1;0;7;6;13;0;1;1;28;13
kasvu;2029;kauto;24;75;51;72;81;74;41;54;54;26;43;40;43;40;39;179
kasvu;2030;pauto;0;7;14;0;0;4;1;0;7;6;13;0;1;1;28;13
kasvu;2030;kauto;24;76;51;73;81;75;42;54;54;26;43;40;43;41;39;180
kasvu;2031;pauto;0;7;15;0;0;4;1;0;7;6;13;0;1;1;28;13
kasvu;2031;kauto;24;76;52;73;82;75;42;55;55;27;44;41;43;41;39;182
kasvu;2032;pauto;0;8;15;0;0;4;1;0;7;7;13;0;1;1;28;14
kasvu;2032;kauto;25;77;52;74;83;76;42;55;55;27;44;41;44;42;40;184
kasvu;2033;pauto;0;8;15;0;0;5;1;0;7;7;13;0;1;1;29;14
kasvu;2033;kauto;25;78;53;75;84;77;43;56;56;27;45;42;44;42;40;186
kasvu;2034;pauto;0;8;15;0;0;5;1;0;7;7;13;0;1;1;29;14
kasvu;2034;kauto;25;79;53;76;85;78;43;56;56;27;45;42;45;42;41;188
kasvu;2035;pauto;0;8;15;0;0;5;1;0;7;7;14;0;1;1;29;14
kasvu;2035;kauto;25;79;54;76;86;78;44;57;57;28;46;42;45;43;41;190
kasvu;2036;pauto;0;8;15;0;0;5;1;0;7;7;14;0;1;1;30;14
kasvu;2036;kauto;26;80;54;77;86;79;44;58;58;28;46;43;46;43;41;192
kasvu;2037;pauto;0;8;16;0;0;5;1;0;7;7;14;0;1;1;30;15
kasvu;2037;kauto;26;81;55;78;87;80;45;58;58;28;47;43;46;44;42;194
kasvu;2038;pauto;0;8;16;0;0;5;1;0;7;7;14;0;1;1;30;15
kasvu;2038;kauto;26;82;55;79;88;81;45;59;59;28;47;44;47;44;42;196
kasvu;2039;pauto;0;8;16;0;0;5;1;0;7;7;14;0;1;1;31;15
kasvu;2039;kauto;26;83;56;79;89;82;46;59;59;29;48;44;47;45;43;198
kasvu;2040;pauto;0;8;16;0;0;5;1;0;7;7;14;0;1;1;31;15
kasvu;2040;kauto;27;83;56;80;90;82;46;60;60;29;48;45;48;45;43;199
kasvu;2041;pauto;0;8;16;0;0;5;1;0;8;7;14;0;1;1;31;15
kasvu;2041;kauto;27;84;57;81;91;83;46;61;60;29;48;45;48;46;44;201
