scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
wemp;2026;opetus;20
wemp;2026;teoll;0
wemp;2026;varast;0
wemp;2026;muut;25
wemp;2027;erpien;10
wemp;2027;rivita;20
wemp;2027;askert;22
wemp;2027;liike;25
wemp;2027;tsto;20
wemp;2027;liiken;25
wemp;2027;hoito;35
wemp;2027;kokoon;25
wemp;2027;opetus;20
wemp;2027;teoll;0
wemp;2027;varast;0
wemp;2027;muut;25
wemp;2028;erpien;10
wemp;2028;rivita;20
wemp;2028;askert;22
wemp;2028;liike;25
wemp;2028;tsto;20
wemp;2028;liiken;25
wemp;2028;hoito;35
wemp;2028;kokoon;25
wemp;2028;opetus;20
wemp;2028;teoll;0
wemp;2028;varast;0
wemp;2028;muut;25
wemp;2029;erpien;10
wemp;2029;rivita;20
wemp;2029;askert;22
wemp;2029;liike;25
wemp;2029;tsto;20
wemp;2029;liiken;25
wemp;2029;hoito;35
wemp;2029;kokoon;25
wemp;2029;opetus;20
wemp;2029;teoll;0
wemp;2029;varast;0
wemp;2029;muut;25
wemp;2030;erpien;10
wemp;2030;rivita;20
wemp;2030;askert;22
wemp;2030;liike;25
wemp;2030;tsto;20
wemp;2030;liiken;25
wemp;2030;hoito;35
wemp;2030;kokoon;25
wemp;2030;opetus;20
wemp;2030;teoll;0
wemp;2030;varast;0
wemp;2030;muut;25
wemp;2031;erpien;10
wemp;2031;rivita;20
wemp;2031;askert;22
wemp;2031;liike;25
wemp;2031;tsto;20
wemp;2031;liiken;25
wemp;2031;hoito;35
wemp;2031;kokoon;25
wemp;2031;opetus;20
wemp;2031;teoll;0
wemp;2031;varast;0
wemp;2031;muut;25
wemp;2032;erpien;10
wemp;2032;rivita;20
wemp;2032;askert;22
wemp;2032;liike;25
wemp;2032;tsto;20
wemp;2032;liiken;25
wemp;2032;hoito;35
wemp;2032;kokoon;25
wemp;2032;opetus;20
wemp;2032;teoll;0
wemp;2032;varast;0
wemp;2032;muut;25
wemp;2033;erpien;10
