scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
wemh;2028;liike;25
wemh;2028;tsto;20
wemh;2028;liiken;25
wemh;2028;hoito;35
wemh;2028;kokoon;25
wemh;2028;opetus;20
wemh;2028;teoll;0
wemh;2028;varast;0
wemh;2028;muut;25
wemh;2029;erpien;10
wemh;2029;rivita;20
wemh;2029;askert;22
wemh;2029;liike;25
wemh;2029;tsto;20
wemh;2029;liiken;25
wemh;2029;hoito;35
wemh;2029;kokoon;25
wemh;2029;opetus;20
wemh;2029;teoll;0
wemh;2029;varast;0
wemh;2029;muut;25
wemh;2030;erpien;10
wemh;2030;rivita;20
wemh;2030;askert;22
wemh;2030;liike;25
wemh;2030;tsto;20
wemh;2030;liiken;25
wemh;2030;hoito;35
wemh;2030;kokoon;25
wemh;2030;opetus;20
wemh;2030;teoll;0
wemh;2030;varast;0
wemh;2030;muut;25
wemh;2031;erpien;10
wemh;2031;rivita;20
wemh;2031;askert;22
wemh;2031;liike;25
wemh;2031;tsto;20
wemh;2031;liiken;25
wemh;2031;hoito;35
wemh;2031;kokoon;25
wemh;2031;opetus;20
wemh;2031;teoll;0
wemh;2031;varast;0
wemh;2031;muut;25
wemh;2032;erpien;10
wemh;2032;rivita;20
wemh;2032;askert;22
wemh;2032;liike;25
wemh;2032;tsto;20
wemh;2032;liiken;25
wemh;2032;hoito;35
wemh;2032;kokoon;25
wemh;2032;opetus;20
wemh;2032;teoll;0
wemh;2032;varast;0
wemh;2032;muut;25
wemh;2033;erpien;10
wemh;2033;rivita;20
wemh;2033;askert;22
wemh;2033;liike;25
wemh;2033;tsto;20
wemh;2033;liiken;25
wemh;2033;hoito;35
wemh;2033;kokoon;25
wemh;2033;opetus;20
wemh;2033;teoll;0
wemh;2033;varast;0
wemh;2033;muut;25
wemh;2034;erpien;10
wemh;2034;rivita;20
wemh;2034;askert;22
wemh;2034;liike;25
wemh;2034;tsto;20
wemh;2034;liiken;25
wemh;2034;hoito;35
wemh;2034;kokoon;25
wemh;2034;opetus;20
wemh;2034;teoll;0
wemh;2034;varast;0
wemh;2034;muut;25
wemh;2035;erpien;10
wemh;2035;rivita;20
wemh;2035;askert;22
wemh;2035;liike;25
wemh;2035;tsto;20
wemh;2035;liiken;25
wemh;2035;hoito;35
wemh;2035;kokoon;25
wemh;2035;opetus;20
wemh;2035;teoll;0
wemh;2035;varast;0
wemh;2035;muut;25
wemh;2036;erpien;10
wemh;2036;rivita;20
wemh;2036;askert;22
wemh;2036;liike;25
wemh;2036;tsto;20
wemh;2036;liiken;25
wemh;2036;hoito;35
wemh;2036;kokoon;25
wemh;2036;opetus;20
wemh;2036;teoll;0
wemh;2036;varast;0
wemh;2036;muut;25
wemh;2037;erpien;10
wemh;2037;rivita;20
wemh;2037;askert;22
wemh;2037;liike;25
wemh;2037;tsto;20
wemh;2037;liiken;25
wemh;2037;hoito;35
wemh;2037;kokoon;25
wemh;2037;opetus;20
wemh;2037;teoll;0
wemh;2037;varast;0
wemh;2037;muut;25
wemh;2038;erpien;10
wemh;2038;rivita;20
wemh;2038;askert;22
wemh;2038;liike;25
wemh;2038;tsto;20
wemh;2038;liiken;25
wemh;2038;hoito;35
wemh;2038;kokoon;25
wemh;2038;opetus;20
wemh;2038;teoll;0
wemh;2038;varast;0
wemh;2038;muut;25
wemh;2039;erpien;10
wemh;2039;rivita;20
wemh;2039;askert;22
wemh;2039;liike;25
wemh;2039;tsto;20
wemh;2039;liiken;25
wemh;2039;hoito;35
wemh;2039;kokoon;25
wemh;2039;opetus;20
wemh;2039;teoll;0
wemh;2039;varast;0
wemh;2039;muut;25
wemh;2040;erpien;10
wemh;2040;rivita;20
wemh;2040;askert;22
wemh;2040;liike;25
wemh;2040;tsto;20
wemh;2040;liiken;25
wemh;2040;hoito;35
wemh;2040;kokoon;25
wemh;2040;opetus;20
wemh;2040;teoll;0
wemh;2040;varast;0
wemh;2040;muut;25
wemh;2041;erpien;10
wemh;2041;rivita;20
wemh;2041;askert;22
wemh;2041;liike;25
wemh;2041;tsto;20
wemh;2041;liiken;25
wemh;2041;hoito;35
wemh;2041;kokoon;25
wemh;2041;opetus;20
wemh;2041;teoll;0
wemh;2041;varast;0
wemh;2041;muut;25
wemh;2042;erpien;10
wemh;2042;rivita;20
wemh;2042;askert;22
wemh;2042;liike;25
wemh;2042;tsto;20
wemh;2042;liiken;25
wemh;2042;hoito;35
wemh;2042;kokoon;25
wemh;2042;opetus;20
wemh;2042;teoll;0
wemh;2042;varast;0
wemh;2042;muut;25
wemh;2043;erpien;10
wemh;2043;rivita;20
wemh;2043;askert;22
wemh;2043;liike;25
wemh;2043;tsto;20
wemh;2043;liiken;25
wemh;2043;hoito;35
wemh;2043;kokoon;25
wemh;2043;opetus;20
wemh;2043;teoll;0
wemh;2043;varast;0
wemh;2043;muut;25
wemh;2044;erpien;10
wemh;2044;rivita;20
wemh;2044;askert;22
wemh;2044;liike;25
wemh;2044;tsto;20
wemh;2044;liiken;25
wemh;2044;hoito;35
wemh;2044;kokoon;25
wemh;2044;opetus;20
wemh;2044;teoll;0
wemh;2044;varast;0
wemh;2044;muut;25
wemh;2045;erpien;10
wemh;2045;rivita;20
wemh;2045;askert;22
wemh;2045;liike;25
wemh;2045;tsto;20
wemh;2045;liiken;25
wemh;2045;hoito;35
wemh;2045;kokoon;25
wemh;2045;opetus;20
wemh;2045;teoll;0
wemh;2045;varast;0
wemh;2045;muut;25
wemh;2046;erpien;10
wemh;2046;rivita;20
wemh;2046;askert;22
wemh;2046;liike;25
wemh;2046;tsto;20
wemh;2046;liiken;25
wemh;2046;hoito;35
wemh;2046;kokoon;25
wemh;2046;opetus;20
wemh;2046;teoll;0
wemh;2046;varast;0
wemh;2046;muut;20
wemh;2047;erpien;10
wemh;2047;rivita;20
wemh;2047;askert;22
wemh;2047;liike;25
wemh;2047;tsto;20
wemh;2047;liiken;25
wemh;2047;hoito;35
wemh;2047;kokoon;25
wemh;2047;opetus;20
wemh;2047;teoll;0
wemh;2047;varast;0
wemh;2047;muut;15
wemh;2048;erpien;10
wemh;2048;rivita;20
wemh;2048;askert;22
wemh;2048;liike;25
wemh;2048;tsto;20
wemh;2048;liiken;25
wemh;2048;hoito;35
wemh;2048;kokoon;25
wemh;2048;opetus;20
wemh;2048;teoll;0
wemh;2048;varast;0
wemh;2048;muut;10
wemh;2049;erpien;10
wemh;2049;rivita;20
wemh;2049;askert;22
wemh;2049;liike;25
wemh;2049;tsto;20
wemh;2049;liiken;25
wemh;2049;hoito;35
wemh;2049;kokoon;25
wemh;2049;opetus;20
wemh;2049;teoll;0
wemh;2049;varast;0
wemh;2049;muut;5
wemh;2050;erpien;0
wemh;2050;rivita;0
wemh;2050;askert;0
wemh;2050;liike;0
wemh;2050;tsto;0
wemh;2050;liiken;0
wemh;2050;hoito;0
wemh;2050;kokoon;0
wemh;2050;opetus;0
