rakv;rakennus_tyyppi;kaukolampo;kevyt_oljy;raskas_oljy;kaasu;sahko;puu;turve;hiili;maalampo;muu_lammitys
2038;muut;0.95;0.85;0.85;0.93;0.95;0.82;0.79;0.79;3.48;0.82
2039;erpien;0.95;0.85;0.85;0.93;0.95;0.83;0.79;0.79;3.5;0.83
2039;rivita;0.95;0.85;0.85;0.93;0.95;0.83;0.79;0.79;3.5;0.83
2039;askert;1;0.81;0.81;0.96;1;0.76;0.69;0.69;4.89;0.76
2039;liike;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.31;0.78
2039;tsto;0.95;0.85;0.85;0.93;0.95;0.83;0.79;0.79;3.5;0.83
2039;liiken;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.31;0.78
2039;hoito;0.95;0.85;0.85;0.93;0.95;0.83;0.79;0.79;3.5;0.83
2039;kokoon;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.31;0.78
2039;opetus;0.95;0.85;0.85;0.93;0.95;0.83;0.79;0.79;3.5;0.83
2039;teoll;0.85;0.76;0.76;0.83;0.85;0.74;0.7;0.7;3.13;0.74
2039;varast;0.85;0.76;0.76;0.83;0.85;0.74;0.7;0.7;3.13;0.74
2039;muut;0.95;0.85;0.85;0.93;0.95;0.83;0.79;0.79;3.5;0.83
2040;erpien;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.51;0.83
2040;rivita;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.51;0.83
2040;askert;1;0.81;0.81;0.96;1;0.76;0.69;0.69;5;0.76
2040;liike;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.33;0.78
2040;tsto;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.51;0.83
2040;liiken;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.33;0.78
2040;hoito;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.51;0.83
2040;kokoon;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.33;0.78
2040;opetus;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.51;0.83
2040;teoll;0.85;0.77;0.77;0.83;0.85;0.74;0.71;0.71;3.14;0.74
2040;varast;0.85;0.77;0.77;0.83;0.85;0.74;0.71;0.71;3.14;0.74
2040;muut;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.51;0.83
2041;erpien;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.53;0.83
2041;rivita;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.53;0.83
2041;askert;1;0.81;0.81;0.96;1;0.76;0.69;0.69;5.1;0.76
2041;liike;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.35;0.78
2041;tsto;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.53;0.83
2041;liiken;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.35;0.78
2041;hoito;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.53;0.83
2041;kokoon;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.35;0.78
2041;opetus;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.53;0.83
2041;teoll;0.85;0.77;0.77;0.83;0.85;0.74;0.71;0.71;3.16;0.74
2041;varast;0.85;0.77;0.77;0.83;0.85;0.74;0.71;0.71;3.16;0.74
2041;muut;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.53;0.83
2042;erpien;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.55;0.83
2042;rivita;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.55;0.83
2042;askert;1;0.81;0.81;0.96;1;0.76;0.69;0.69;5.2;0.76
2042;liike;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.37;0.78
2042;tsto;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.55;0.83
2042;liiken;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.37;0.78
2042;hoito;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.55;0.83
2042;kokoon;0.9;0.81;0.81;0.88;0.9;0.78;0.75;0.75;3.37;0.78
2042;opetus;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.55;0.83
2042;teoll;0.85;0.77;0.77;0.83;0.85;0.74;0.71;0.71;3.18;0.74
2042;varast;0.85;0.77;0.77;0.83;0.85;0.74;0.71;0.71;3.18;0.74
2042;muut;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.55;0.83
2043;erpien;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.57;0.83
2043;rivita;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.57;0.83
2043;askert;1;0.82;0.82;0.97;1;0.76;0.69;0.69;5.3;0.76
2043;liike;0.9;0.81;0.81;0.88;0.9;0.79;0.75;0.75;3.38;0.79
2043;tsto;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.57;0.83
2043;liiken;0.9;0.81;0.81;0.88;0.9;0.79;0.75;0.75;3.38;0.79
2043;hoito;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.57;0.83
2043;kokoon;0.9;0.81;0.81;0.88;0.9;0.79;0.75;0.75;3.38;0.79
2043;opetus;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.57;0.83
2043;teoll;0.85;0.77;0.77;0.84;0.85;0.74;0.71;0.71;3.2;0.74
2043;varast;0.85;0.77;0.77;0.84;0.85;0.74;0.71;0.71;3.2;0.74
2043;muut;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.57;0.83
2044;erpien;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.59;0.83
2044;rivita;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.59;0.83
2044;askert;1;0.82;0.82;0.97;1;0.76;0.7;0.7;5.41;0.76
2044;liike;0.9;0.81;0.81;0.89;0.9;0.79;0.75;0.75;3.4;0.79
2044;tsto;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.59;0.83
2044;liiken;0.9;0.81;0.81;0.89;0.9;0.79;0.75;0.75;3.4;0.79
2044;hoito;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.59;0.83
2044;kokoon;0.9;0.81;0.81;0.89;0.9;0.79;0.75;0.75;3.4;0.79
2044;opetus;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.59;0.83
2044;teoll;0.85;0.77;0.77;0.84;0.85;0.74;0.71;0.71;3.21;0.74
2044;varast;0.85;0.77;0.77;0.84;0.85;0.74;0.71;0.71;3.21;0.74
2044;muut;0.95;0.86;0.86;0.93;0.95;0.83;0.79;0.79;3.59;0.83
2045;erpien;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.61;0.83
2045;rivita;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.61;0.83
2045;askert;1;0.82;0.82;0.97;1;0.77;0.7;0.7;5.51;0.77
2045;liike;0.9;0.81;0.81;0.89;0.9;0.79;0.75;0.75;3.42;0.79
2045;tsto;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.61;0.83
2045;liiken;0.9;0.81;0.81;0.89;0.9;0.79;0.75;0.75;3.42;0.79
2045;hoito;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.61;0.83
2045;kokoon;0.9;0.81;0.81;0.89;0.9;0.79;0.75;0.75;3.42;0.79
2045;opetus;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.61;0.83
2045;teoll;0.85;0.77;0.77;0.84;0.85;0.74;0.71;0.71;3.23;0.74
2045;varast;0.85;0.77;0.77;0.84;0.85;0.74;0.71;0.71;3.23;0.74
2045;muut;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.61;0.83
2046;erpien;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.63;0.83
2046;rivita;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.63;0.83
2046;askert;1;0.82;0.82;0.97;1;0.77;0.7;0.7;5.62;0.77
2046;liike;0.9;0.82;0.82;0.89;0.9;0.79;0.75;0.75;3.44;0.79
2046;tsto;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.63;0.83
2046;liiken;0.9;0.82;0.82;0.89;0.9;0.79;0.75;0.75;3.44;0.79
2046;hoito;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.63;0.83
2046;kokoon;0.9;0.82;0.82;0.89;0.9;0.79;0.75;0.75;3.44;0.79
2046;opetus;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.63;0.83
2046;teoll;0.85;0.77;0.77;0.84;0.85;0.74;0.71;0.71;3.25;0.74
2046;varast;0.85;0.77;0.77;0.84;0.85;0.74;0.71;0.71;3.25;0.74
2046;muut;0.95;0.86;0.86;0.94;0.95;0.83;0.79;0.79;3.63;0.83
2047;erpien;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.65;0.83
2047;rivita;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.65;0.83
2047;askert;1;0.82;0.82;0.97;1;0.77;0.7;0.7;5.72;0.77
2047;liike;0.9;0.82;0.82;0.89;0.9;0.79;0.75;0.75;3.46;0.79
2047;tsto;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.65;0.83
2047;liiken;0.9;0.82;0.82;0.89;0.9;0.79;0.75;0.75;3.46;0.79
2047;hoito;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.65;0.83
2047;kokoon;0.9;0.82;0.82;0.89;0.9;0.79;0.75;0.75;3.46;0.79
2047;opetus;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.65;0.83
2047;teoll;0.85;0.77;0.77;0.84;0.85;0.75;0.71;0.71;3.26;0.75
2047;varast;0.85;0.77;0.77;0.84;0.85;0.75;0.71;0.71;3.26;0.75
2047;muut;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.65;0.83
2048;erpien;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.67;0.83
2048;rivita;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.67;0.83
2048;askert;1;0.82;0.82;0.98;1;0.77;0.7;0.7;5.83;0.77
2048;liike;0.9;0.82;0.82;0.89;0.9;0.79;0.75;0.75;3.47;0.79
2048;tsto;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.67;0.83
2048;liiken;0.9;0.82;0.82;0.89;0.9;0.79;0.75;0.75;3.47;0.79
2048;hoito;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.67;0.83
2048;kokoon;0.9;0.82;0.82;0.89;0.9;0.79;0.75;0.75;3.47;0.79
2048;opetus;0.95;0.86;0.86;0.94;0.95;0.83;0.8;0.8;3.67;0.83
