scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
wemp;2026;opetus;27
wemp;2026;teoll;29
wemp;2026;varast;26
wemp;2026;muut;0
wemp;2027;erpien;27
wemp;2027;rivita;29
wemp;2027;askert;26
wemp;2027;liike;0
wemp;2027;tsto;27
wemp;2027;liiken;29
wemp;2027;hoito;26
wemp;2027;kokoon;0
wemp;2027;opetus;27
wemp;2027;teoll;29
wemp;2027;varast;26
wemp;2027;muut;0
wemp;2028;erpien;27
wemp;2028;rivita;29
wemp;2028;askert;26
wemp;2028;liike;0
wemp;2028;tsto;27
wemp;2028;liiken;29
wemp;2028;hoito;26
wemp;2028;kokoon;0
wemp;2028;opetus;27
wemp;2028;teoll;29
wemp;2028;varast;26
wemp;2028;muut;0
wemp;2029;erpien;27
wemp;2029;rivita;29
wemp;2029;askert;26
wemp;2029;liike;0
wemp;2029;tsto;27
wemp;2029;liiken;29
wemp;2029;hoito;26
wemp;2029;kokoon;0
wemp;2029;opetus;27
wemp;2029;teoll;29
wemp;2029;varast;26
wemp;2029;muut;0
wemp;2030;erpien;27
wemp;2030;rivita;29
wemp;2030;askert;26
wemp;2030;liike;0
wemp;2030;tsto;27
wemp;2030;liiken;29
wemp;2030;hoito;26
wemp;2030;kokoon;0
wemp;2030;opetus;27
wemp;2030;teoll;29
wemp;2030;varast;26
wemp;2030;muut;0
wemp;2031;erpien;27
wemp;2031;rivita;29
wemp;2031;askert;26
wemp;2031;liike;0
wemp;2031;tsto;27
wemp;2031;liiken;29
wemp;2031;hoito;26
wemp;2031;kokoon;0
wemp;2031;opetus;27
wemp;2031;teoll;29
wemp;2031;varast;26
wemp;2031;muut;0
wemp;2032;erpien;27
wemp;2032;rivita;29
wemp;2032;askert;26
wemp;2032;liike;0
wemp;2032;tsto;27
wemp;2032;liiken;29
wemp;2032;hoito;26
wemp;2032;kokoon;0
wemp;2032;opetus;27
wemp;2032;teoll;29
wemp;2032;varast;26
wemp;2032;muut;0
wemp;2033;erpien;27
wemp;2033;rivita;29
wemp;2033;askert;26
wemp;2033;liike;0
wemp;2033;tsto;27
wemp;2033;liiken;29
wemp;2033;hoito;26
wemp;2033;kokoon;0
wemp;2033;opetus;27
wemp;2033;teoll;29
wemp;2033;varast;26
wemp;2033;muut;0
wemp;2034;erpien;27
wemp;2034;rivita;29
wemp;2034;askert;26
wemp;2034;liike;0
wemp;2034;tsto;27
wemp;2034;liiken;29
wemp;2034;hoito;26
wemp;2034;kokoon;0
wemp;2034;opetus;27
wemp;2034;teoll;29
wemp;2034;varast;26
wemp;2034;muut;0
wemp;2035;erpien;27
wemp;2035;rivita;29
wemp;2035;askert;26
wemp;2035;liike;0
wemp;2035;tsto;27
wemp;2035;liiken;29
wemp;2035;hoito;26
wemp;2035;kokoon;0
wemp;2035;opetus;27
wemp;2035;teoll;29
wemp;2035;varast;26
wemp;2035;muut;0
wemp;2036;erpien;27
wemp;2036;rivita;29
wemp;2036;askert;26
wemp;2036;liike;0
wemp;2036;tsto;27
wemp;2036;liiken;29
wemp;2036;hoito;26
wemp;2036;kokoon;0
wemp;2036;opetus;27
wemp;2036;teoll;29
wemp;2036;varast;26
wemp;2036;muut;0
wemp;2037;erpien;27
wemp;2037;rivita;29
wemp;2037;askert;26
wemp;2037;liike;0
wemp;2037;tsto;27
wemp;2037;liiken;29
wemp;2037;hoito;26
wemp;2037;kokoon;0
wemp;2037;opetus;27
wemp;2037;teoll;29
wemp;2037;varast;26
wemp;2037;muut;0
wemp;2038;erpien;27
wemp;2038;rivita;29
wemp;2038;askert;26
wemp;2038;liike;0
wemp;2038;tsto;27
wemp;2038;liiken;29
wemp;2038;hoito;26
wemp;2038;kokoon;0
wemp;2038;opetus;27
wemp;2038;teoll;29
wemp;2038;varast;26
wemp;2038;muut;0
wemp;2039;erpien;27
wemp;2039;rivita;29
wemp;2039;askert;26
wemp;2039;liike;0
wemp;2039;tsto;27
wemp;2039;liiken;29
wemp;2039;hoito;26
wemp;2039;kokoon;0
wemp;2039;opetus;27
wemp;2039;teoll;29
wemp;2039;varast;26
wemp;2039;muut;0
wemp;2040;erpien;27
wemp;2040;rivita;29
wemp;2040;askert;26
wemp;2040;liike;0
wemp;2040;tsto;27
wemp;2040;liiken;29
wemp;2040;hoito;26
