scenario;year;rakv;rakennus_tyyppi;kaukolampo;kevyt_oljy;kaasu;sahko;puu;maalampo;muu_lammitys
saasto;2034;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2034;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2034;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2035;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2035;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2035;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2035;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2035;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2035;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2035;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2035;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2035;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2035;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2035;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2035;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2035;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2035;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2035;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2036;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2036;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2036;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2036;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2036;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2036;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2036;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2036;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2036;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2036;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2036;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2036;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2036;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2036;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2036;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2037;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2037;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2037;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2037;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2037;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2037;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2037;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2037;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2037;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2037;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2037;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2037;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2037;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2037;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2037;2037;askert;0.95;0;0;0;0;0.05;0
saasto;2038;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2038;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2038;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2038;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2038;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2038;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2038;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2038;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2038;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2038;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2038;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2038;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2038;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2038;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2037;askert;0.95;0;0;0;0;0.05;0
saasto;2038;2038;askert;0.95;0;0;0;0;0.05;0
saasto;2039;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2039;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2039;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2039;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2039;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2039;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2039;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2039;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2039;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2039;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2039;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2039;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2039;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2039;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2037;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2038;askert;0.95;0;0;0;0;0.05;0
saasto;2039;2039;askert;0.95;0;0;0;0;0.05;0
saasto;2040;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2040;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2040;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2040;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2040;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2040;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2040;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2040;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2040;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2040;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2040;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2040;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2040;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2040;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2037;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2038;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2039;askert;0.95;0;0;0;0;0.05;0
saasto;2040;2040;askert;0.95;0;0;0;0;0.05;0
saasto;2041;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2041;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2041;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2041;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2041;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2041;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2041;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2041;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2041;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2041;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2041;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2041;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2041;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2041;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2037;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2038;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2039;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2040;askert;0.95;0;0;0;0;0.05;0
saasto;2041;2041;askert;0.95;0;0;0;0;0.05;0
saasto;2042;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2042;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2042;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2042;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2042;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2042;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2042;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2042;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2042;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2042;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2042;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2042;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2042;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2042;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2037;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2038;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2039;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2040;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2041;askert;0.95;0;0;0;0;0.05;0
saasto;2042;2042;askert;0.95;0;0;0;0;0.05;0
saasto;2043;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2043;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2043;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2043;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2043;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2043;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2043;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2043;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2043;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2043;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2043;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2043;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2043;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2043;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2037;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2038;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2039;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2040;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2041;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2042;askert;0.95;0;0;0;0;0.05;0
saasto;2043;2043;askert;0.95;0;0;0;0;0.05;0
saasto;2044;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2044;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2044;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2044;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2044;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2044;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2044;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2044;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2044;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2044;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2044;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2044;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2044;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2044;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2037;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2038;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2039;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2040;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2041;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2042;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2043;askert;0.95;0;0;0;0;0.05;0
saasto;2044;2044;askert;0.95;0;0;0;0;0.05;0
saasto;2045;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2045;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2045;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2045;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2045;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2045;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2045;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2045;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2045;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2045;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2045;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2045;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2045;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2045;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2034;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2035;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2036;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2037;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2038;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2039;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2040;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2041;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2042;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2043;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2044;askert;0.95;0;0;0;0;0.05;0
saasto;2045;2045;askert;0.95;0;0;0;0;0.05;0
saasto;2046;9999;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2046;1920;askert;0.96;0.01;0;0.02;0;0.01;0.01
saasto;2046;1929;askert;0.72;0.04;0;0.12;0.01;0.01;0.1
saasto;2046;1939;askert;0.74;0.12;0;0.07;0;0.02;0.03
saasto;2046;1949;askert;0.84;0.07;0;0.05;0;0.01;0.04
saasto;2046;1959;askert;0.91;0.04;0;0.01;0;0;0.04
saasto;2046;1969;askert;0.96;0.03;0;0;0;0.01;0.01
saasto;2046;1979;askert;0.95;0.04;0;0;0;0.01;0
saasto;2046;1989;askert;0.98;0;0;0.01;0;0;0
saasto;2046;1999;askert;0.96;0;0;0.01;0;0;0.03
saasto;2046;2009;askert;0.96;0;0;0.01;0;0;0.02
saasto;2046;2010;askert;0.98;0;0;0;0;0.01;0
saasto;2046;2018;askert;0.94;0;0;0;0;0.06;0
saasto;2046;2019;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2020;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2021;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2022;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2023;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2024;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2025;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2026;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2027;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2028;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2029;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2030;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2031;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2032;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2033;askert;0.95;0;0;0;0;0.05;0
saasto;2046;2034;askert;0.95;0;0;0;0;0.05;0
