scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
eu80;2049;9851;9546;10200;8692;10244;9235;10244;10244;10244;8149;7062;8692
eu80;2050;9337;9047;9667;8238;9709;8753;9709;9709;9709;7723;6694;8238
kasvu;2018;29633;28713;30680;26145;30813;27779;30813;30813;30813;24511;21243;26145
kasvu;2019;28763;27870;29780;25378;29909;26964;29909;29909;29909;23792;20619;25378
kasvu;2020;28102;27229;29095;24794;29222;26344;29222;29222;29222;23245;20145;24794
kasvu;2021;27502;26648;28474;24265;28598;25782;28598;28598;28598;22749;19715;24265
kasvu;2022;26498;25675;27434;23379;27553;24840;27553;27553;27553;21917;18995;23379
kasvu;2023;25500;24708;26401;22498;26516;23904;26516;26516;26516;21092;18280;22498
kasvu;2024;24510;23748;25376;21625;25486;22976;25486;25486;25486;20273;17570;21625
kasvu;2025;23636;22902;24472;20854;24578;22158;24578;24578;24578;19551;16944;20854
kasvu;2026;22659;21955;23459;19992;23561;21241;23561;23561;23561;18742;16243;19992
kasvu;2027;21636;20964;22401;19089;22498;20282;22498;22498;22498;17896;15510;19089
kasvu;2028;20563;19925;21290;18143;21383;19277;21383;21383;21383;17009;14741;18143
kasvu;2029;19522;18916;20212;17224;20300;18301;20300;20300;20300;16148;13995;17224
kasvu;2030;18411;17839;19062;16244;19144;17259;19144;19144;19144;15229;13198;16244
kasvu;2031;17658;17110;18282;15580;18362;16553;18362;18362;18362;14606;12659;15580
kasvu;2032;16903;16378;17501;14914;17577;15846;17577;17577;17577;13982;12117;14914
kasvu;2033;16289;15783;16865;14372;16938;15270;16938;16938;16938;13473;11677;14372
kasvu;2034;15672;15185;16226;13827;16297;14692;16297;16297;16297;12963;11235;13827
kasvu;2035;15037;14570;15568;13267;15636;14096;15636;15636;15636;12438;10779;13267
kasvu;2036;14407;13960;14917;12711;14981;13506;14981;14981;14981;11917;10328;12711
kasvu;2037;13793;13365;14280;12169;14342;12930;14342;14342;14342;11409;9888;12169
kasvu;2038;13189;12780;13656;11637;13715;12364;13715;13715;13715;10910;9455;11637
kasvu;2039;12589;12198;13034;11107;13090;11801;13090;13090;13090;10413;9024;11107
