scenario;year;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
saasto;2046;707000;685000;403000;285000;11198;10095;11820;11198;11820;8907;7720;9501
saasto;2047;707000;685000;403000;285000;10690;9637;11284;10690;11284;8504;7370;9071
saasto;2048;707000;685000;403000;285000;10172;9170;10737;10172;10737;8091;7013;8631
saasto;2049;707000;685000;403000;285000;9655;8704;10191;9655;10191;7680;6656;8192
saasto;2050;707000;685000;403000;285000;9139;8239;9646;9139;9646;7269;6300;7754
pysahdys;2018;707000;685000;403000;285000;34645;31233;36570;34645;36570;27558;23884;29396
pysahdys;2019;707000;685000;403000;285000;33728;30406;35602;33728;35602;26829;23252;28618
pysahdys;2020;707000;685000;403000;285000;34005;30656;35894;34005;35894;27049;23443;28853
pysahdys;2021;707000;685000;403000;285000;33576;30269;35441;33576;35441;26708;23147;28489
pysahdys;2022;707000;685000;403000;285000;32886;29647;34713;32886;34713;26159;22672;27903
pysahdys;2023;707000;685000;403000;285000;31604;28491;33360;31604;33360;25139;21787;26815
pysahdys;2024;707000;685000;403000;285000;30331;27344;32016;30331;32016;24127;20910;25736
pysahdys;2025;707000;685000;403000;285000;29499;26594;31138;29499;31138;23466;20337;25030
pysahdys;2026;707000;685000;403000;285000;28568;25754;30155;28568;30155;22724;19694;24239
pysahdys;2027;707000;685000;403000;285000;27414;24714;28937;27414;28937;21807;18899;23260
pysahdys;2028;707000;685000;403000;285000;26263;23677;27722;26263;27722;20891;18106;22284
pysahdys;2029;707000;685000;403000;285000;25136;22661;26533;25136;26533;19995;17329;21328
pysahdys;2030;707000;685000;403000;285000;23810;21465;25133;23810;25133;18940;16415;20203
pysahdys;2031;707000;685000;403000;285000;22928;20670;24202;22928;24202;18239;15807;19454
pysahdys;2032;707000;685000;403000;285000;21991;19826;23213;21991;23213;17493;15161;18659
pysahdys;2033;707000;685000;403000;285000;21283;19187;22465;21283;22465;16930;14672;18058
pysahdys;2034;707000;685000;403000;285000;20567;18542;21710;20567;21710;16360;14179;17451
pysahdys;2035;707000;685000;403000;285000;19818;17866;20919;19818;20919;15764;13662;16815
pysahdys;2036;707000;685000;403000;285000;19088;17208;20148;19088;20148;15183;13159;16196
pysahdys;2037;707000;685000;403000;285000;18393;16582;19415;18393;19415;14631;12680;15607
