scenario;year;erpien;rivita;askert
pysahdys;2024;6;6.9;7.8
pysahdys;2025;5.9;6.7;7.5
pysahdys;2026;5.7;6.5;7.3
pysahdys;2027;5.5;6.3;7
pysahdys;2028;5.3;6;6.8
pysahdys;2029;5.1;5.8;6.5
pysahdys;2030;4.9;5.6;6.3
pysahdys;2031;4.8;5.5;6.2
pysahdys;2032;4.7;5.3;6
pysahdys;2033;4.6;5.2;5.9
pysahdys;2034;4.5;5.1;5.7
pysahdys;2035;4.3;5;5.6
pysahdys;2036;4.2;4.8;5.4
pysahdys;2037;4.1;4.7;5.3
pysahdys;2038;4;4.6;5.2
pysahdys;2039;3.9;4.5;5
pysahdys;2040;3.8;4.3;4.9
pysahdys;2041;3.7;4.3;4.8
pysahdys;2042;3.7;4.2;4.7
pysahdys;2043;3.6;4.1;4.7
pysahdys;2044;3.6;4.1;4.6
pysahdys;2045;3.5;4;4.5
pysahdys;2046;3.5;3.9;4.4
pysahdys;2047;3.4;3.9;4.4
pysahdys;2048;3.3;3.8;4.3
pysahdys;2049;3.3;3.8;4.2
pysahdys;2050;3.2;3.7;4.2
