scenario;year;9999;1920;1929;1939;1949;1959;1969;1979;1989;1999;2009;2010
eu80;2036;1.09;1.09;1.09;1.09;1.09;1.09;1.2;1.2;1.2;1.09;1.09;1.09
eu80;2037;1.1;1.1;1.1;1.1;1.1;1.1;1.21;1.21;1.21;1.1;1.1;1.1
eu80;2038;1.1;1.1;1.1;1.1;1.1;1.1;1.22;1.22;1.22;1.1;1.1;1.1
eu80;2039;1.11;1.11;1.11;1.11;1.11;1.11;1.23;1.23;1.23;1.11;1.11;1.11
eu80;2040;1.12;1.12;1.12;1.12;1.12;1.12;1.24;1.24;1.24;1.12;1.12;1.12
eu80;2041;1.12;1.12;1.12;1.12;1.12;1.12;1.26;1.26;1.26;1.12;1.12;1.12
eu80;2042;1.13;1.13;1.13;1.13;1.13;1.13;1.27;1.27;1.27;1.13;1.13;1.13
eu80;2043;1.13;1.13;1.13;1.13;1.13;1.13;1.28;1.28;1.28;1.13;1.13;1.13
eu80;2044;1.14;1.14;1.14;1.14;1.14;1.14;1.3;1.3;1.3;1.14;1.14;1.14
eu80;2045;1.14;1.14;1.14;1.14;1.14;1.14;1.31;1.31;1.31;1.14;1.14;1.14
eu80;2046;1.15;1.15;1.15;1.15;1.15;1.15;1.32;1.32;1.32;1.15;1.15;1.15
eu80;2047;1.16;1.16;1.16;1.16;1.16;1.16;1.33;1.33;1.33;1.16;1.16;1.16
eu80;2048;1.16;1.16;1.16;1.16;1.16;1.16;1.35;1.35;1.35;1.16;1.16;1.16
eu80;2049;1.17;1.17;1.17;1.17;1.17;1.17;1.36;1.36;1.36;1.17;1.17;1.17
eu80;2050;1.17;1.17;1.17;1.17;1.17;1.17;1.37;1.37;1.37;1.17;1.17;1.17
kasvu;2018;1;1;1;1;1;1;1;1;1;1;1;1
kasvu;2019;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01
kasvu;2020;1.01;1.01;1.01;1.01;1.01;1.01;1.02;1.02;1.02;1.01;1.01;1.01
kasvu;2021;1.02;1.02;1.02;1.02;1.02;1.02;1.04;1.04;1.04;1.02;1.02;1.02
kasvu;2022;1.03;1.03;1.03;1.03;1.03;1.03;1.05;1.05;1.05;1.03;1.03;1.03
kasvu;2023;1.04;1.04;1.04;1.04;1.04;1.04;1.06;1.06;1.06;1.04;1.04;1.04
kasvu;2024;1.04;1.04;1.04;1.04;1.04;1.04;1.07;1.07;1.07;1.04;1.04;1.04
kasvu;2025;1.05;1.05;1.05;1.05;1.05;1.05;1.09;1.09;1.09;1.05;1.05;1.05
kasvu;2026;1.06;1.06;1.06;1.06;1.06;1.06;1.1;1.1;1.1;1.06;1.06;1.06
kasvu;2027;1.06;1.06;1.06;1.06;1.06;1.06;1.11;1.11;1.11;1.06;1.06;1.06
kasvu;2028;1.07;1.07;1.07;1.07;1.07;1.07;1.13;1.13;1.13;1.07;1.07;1.07
kasvu;2029;1.08;1.08;1.08;1.08;1.08;1.08;1.14;1.14;1.14;1.08;1.08;1.08
kasvu;2030;1.09;1.09;1.09;1.09;1.09;1.09;1.15;1.15;1.15;1.09;1.09;1.09
kasvu;2031;1.09;1.09;1.09;1.09;1.09;1.09;1.17;1.17;1.17;1.09;1.09;1.09
kasvu;2032;1.1;1.1;1.1;1.1;1.1;1.1;1.18;1.18;1.18;1.1;1.1;1.1
kasvu;2033;1.11;1.11;1.11;1.11;1.11;1.11;1.2;1.2;1.2;1.11;1.11;1.11
kasvu;2034;1.12;1.12;1.12;1.12;1.12;1.12;1.21;1.21;1.21;1.12;1.12;1.12
kasvu;2035;1.13;1.13;1.13;1.13;1.13;1.13;1.22;1.22;1.22;1.13;1.13;1.13
kasvu;2036;1.13;1.13;1.13;1.13;1.13;1.13;1.24;1.24;1.24;1.13;1.13;1.13
kasvu;2037;1.14;1.14;1.14;1.14;1.14;1.14;1.25;1.25;1.25;1.14;1.14;1.14
kasvu;2038;1.15;1.15;1.15;1.15;1.15;1.15;1.27;1.27;1.27;1.15;1.15;1.15
kasvu;2039;1.16;1.16;1.16;1.16;1.16;1.16;1.28;1.28;1.28;1.16;1.16;1.16
kasvu;2040;1.17;1.17;1.17;1.17;1.17;1.17;1.3;1.3;1.3;1.17;1.17;1.17
kasvu;2041;1.17;1.17;1.17;1.17;1.17;1.17;1.32;1.32;1.32;1.17;1.17;1.17
kasvu;2042;1.18;1.18;1.18;1.18;1.18;1.18;1.33;1.33;1.33;1.18;1.18;1.18
kasvu;2043;1.19;1.19;1.19;1.19;1.19;1.19;1.35;1.35;1.35;1.19;1.19;1.19
kasvu;2044;1.2;1.2;1.2;1.2;1.2;1.2;1.36;1.36;1.36;1.2;1.2;1.2
kasvu;2045;1.21;1.21;1.21;1.21;1.21;1.21;1.38;1.38;1.38;1.21;1.21;1.21
kasvu;2046;1.22;1.22;1.22;1.22;1.22;1.22;1.4;1.4;1.4;1.22;1.22;1.22
kasvu;2047;1.22;1.22;1.22;1.22;1.22;1.22;1.41;1.41;1.41;1.22;1.22;1.22
kasvu;2048;1.23;1.23;1.23;1.23;1.23;1.23;1.43;1.43;1.43;1.23;1.23;1.23
kasvu;2049;1.24;1.24;1.24;1.24;1.24;1.24;1.45;1.45;1.45;1.24;1.24;1.24
kasvu;2050;1.25;1.25;1.25;1.25;1.25;1.25;1.46;1.46;1.46;1.25;1.25;1.25
muutos;2018;1;1;1;1;1;1;1;1;1;1;1;1
muutos;2019;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01;1.01
muutos;2020;1.01;1.01;1.01;1.01;1.01;1.01;1.02;1.02;1.02;1.01;1.01;1.01
muutos;2021;1.02;1.02;1.02;1.02;1.02;1.02;1.03;1.03;1.03;1.02;1.02;1.02
muutos;2022;1.02;1.02;1.02;1.02;1.02;1.02;1.04;1.04;1.04;1.02;1.02;1.02
muutos;2023;1.03;1.03;1.03;1.03;1.03;1.03;1.06;1.06;1.06;1.03;1.03;1.03
muutos;2024;1.04;1.04;1.04;1.04;1.04;1.04;1.07;1.07;1.07;1.03;1.04;1.04
muutos;2025;1.04;1.04;1.04;1.04;1.04;1.04;1.08;1.08;1.08;1.04;1.04;1.04
muutos;2026;1.05;1.05;1.05;1.05;1.05;1.05;1.09;1.09;1.09;1.04;1.05;1.05
muutos;2027;1.06;1.06;1.06;1.06;1.06;1.06;1.1;1.1;1.1;1.05;1.06;1.06
muutos;2028;1.06;1.06;1.06;1.06;1.06;1.06;1.12;1.12;1.12;1.05;1.06;1.06
muutos;2029;1.07;1.07;1.07;1.07;1.07;1.07;1.13;1.13;1.13;1.06;1.07;1.07
muutos;2030;1.07;1.07;1.07;1.07;1.07;1.07;1.14;1.14;1.14;1.06;1.07;1.07
muutos;2031;1.08;1.08;1.08;1.08;1.08;1.08;1.15;1.15;1.15;1.07;1.08;1.08
muutos;2032;1.09;1.09;1.09;1.09;1.09;1.09;1.17;1.17;1.17;1.07;1.09;1.09
muutos;2033;1.09;1.09;1.09;1.09;1.09;1.09;1.18;1.18;1.18;1.08;1.09;1.09
muutos;2034;1.1;1.1;1.1;1.1;1.1;1.1;1.19;1.19;1.19;1.08;1.1;1.1
muutos;2035;1.11;1.11;1.11;1.11;1.11;1.11;1.2;1.2;1.2;1.09;1.11;1.11
muutos;2036;1.11;1.11;1.11;1.11;1.11;1.11;1.22;1.22;1.22;1.09;1.11;1.11
muutos;2037;1.12;1.12;1.12;1.12;1.12;1.12;1.23;1.23;1.23;1.1;1.12;1.12
muutos;2038;1.13;1.13;1.13;1.13;1.13;1.13;1.24;1.24;1.24;1.1;1.13;1.13
muutos;2039;1.13;1.13;1.13;1.13;1.13;1.13;1.26;1.26;1.26;1.11;1.13;1.13
muutos;2040;1.14;1.14;1.14;1.14;1.14;1.14;1.27;1.27;1.27;1.12;1.14;1.14
muutos;2041;1.15;1.15;1.15;1.15;1.15;1.15;1.29;1.29;1.29;1.12;1.15;1.15
