scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
wemp;2027;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.25;0.00;0.00
wemp;2027;hlauto;0.61;0.60;0.58;0.55;0.41;0.38;0.18;0.20;0.00
wemp;2027;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.19
wemp;2027;pauto;1.01;0.94;0.94;0.96;0.32;0.00;0.34;0.12;0.00
wemp;2027;kauto;2.75;2.50;2.27;2.05;2.15;2.15;1.43;1.43;0.00
wemp;2028;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2028;bussi;2.91;2.91;2.65;2.98;2.93;2.93;0.98;0.98;0.00
wemp;2028;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.07;0.00;0.00
wemp;2028;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.20;0.00
wemp;2028;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.17
wemp;2028;pauto;0.99;0.93;0.93;0.96;0.32;0.00;0.34;0.12;0.00
wemp;2028;kauto;2.71;2.46;2.24;2.02;2.12;2.12;1.41;1.41;0.00
wemp;2029;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2029;bussi;2.75;2.75;2.50;2.81;2.76;2.76;0.92;0.92;0.00
wemp;2029;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.89;0.00;0.00
wemp;2029;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.19;0.00
wemp;2029;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.16
wemp;2029;pauto;0.98;0.91;0.91;0.96;0.32;0.00;0.33;0.12;0.00
wemp;2029;kauto;2.67;2.42;2.20;1.98;2.08;2.08;1.39;1.39;0.00
wemp;2030;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2030;bussi;2.58;2.58;2.35;2.64;2.60;2.60;0.87;0.87;0.00
wemp;2030;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.72;0.00;0.00
wemp;2030;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.19;0.00
wemp;2030;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.14
wemp;2030;pauto;0.96;0.90;0.90;0.96;0.32;0.00;0.33;0.12;0.00
wemp;2030;kauto;2.62;2.38;2.16;1.95;2.04;2.04;1.36;1.36;0.00
wemp;2031;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2031;bussi;2.43;2.43;2.21;2.48;2.45;2.45;0.82;0.82;0.00
wemp;2031;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.74;0.00;0.00
wemp;2031;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.17;0.19;0.00
wemp;2031;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.12
wemp;2031;pauto;0.95;0.89;0.89;0.96;0.32;0.00;0.33;0.12;0.00
wemp;2031;kauto;2.57;2.33;2.12;1.91;2.00;2.00;1.33;1.33;0.00
wemp;2032;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2032;bussi;2.29;2.29;2.08;2.34;2.30;2.30;0.77;0.77;0.00
wemp;2032;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.76;0.00;0.00
wemp;2032;hlauto;0.59;0.61;0.58;0.55;0.40;0.38;0.17;0.19;0.00
wemp;2032;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.10
wemp;2032;pauto;0.94;0.88;0.88;0.96;0.32;0.00;0.33;0.12;0.00
wemp;2032;kauto;2.51;2.29;2.08;1.87;1.96;1.96;1.31;1.31;0.00
wemp;2033;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2033;bussi;2.16;2.16;1.97;2.21;2.17;2.17;0.72;0.72;0.00
wemp;2033;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.77;0.00;0.00
wemp;2033;hlauto;0.59;0.61;0.58;0.56;0.40;0.38;0.17;0.19;0.00
wemp;2033;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.08
wemp;2033;pauto;0.93;0.87;0.87;0.96;0.31;0.00;0.33;0.12;0.00
wemp;2033;kauto;2.46;2.24;2.03;1.83;1.92;1.92;1.28;1.28;0.00
wemp;2034;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemp;2034;bussi;2.04;2.04;1.86;2.09;2.06;2.06;0.69;0.69;0.00
