scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
wemh;2025;hlauto;0.61;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
wemh;2025;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.21
wemh;2025;pauto;1.05;0.98;0.98;0.97;0.32;0.00;0.34;0.12;0.00
wemh;2025;kauto;2.68;2.44;2.32;2.09;2.92;2.92;1.46;1.83;0.00
wemh;2026;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2026;bussi;3.25;3.25;2.95;3.32;3.27;3.27;1.09;1.09;0.00
wemh;2026;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.43;0.00;0.00
wemh;2026;hlauto;0.61;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
wemh;2026;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.20
wemh;2026;pauto;1.03;0.96;0.96;0.97;0.32;0.00;0.34;0.12;0.00
wemh;2026;kauto;2.66;2.41;2.30;2.07;2.89;2.89;1.45;1.81;0.00
wemh;2027;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2027;bussi;3.08;3.08;2.80;3.15;3.10;3.10;1.03;1.03;0.00
wemh;2027;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.25;0.00;0.00
wemh;2027;hlauto;0.61;0.60;0.58;0.55;0.41;0.38;0.18;0.20;0.00
wemh;2027;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.19
wemh;2027;pauto;1.01;0.94;0.94;0.96;0.32;0.00;0.34;0.12;0.00
wemh;2027;kauto;2.62;2.39;2.27;2.05;2.86;2.86;1.43;1.79;0.00
wemh;2028;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2028;bussi;2.91;2.91;2.65;2.98;2.93;2.93;0.98;0.98;0.00
wemh;2028;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.07;0.00;0.00
wemh;2028;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.20;0.00
wemh;2028;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.17
wemh;2028;pauto;0.99;0.93;0.93;0.96;0.32;0.00;0.34;0.12;0.00
wemh;2028;kauto;2.59;2.35;2.24;2.02;2.82;2.82;1.41;1.76;0.00
wemh;2029;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2029;bussi;2.75;2.75;2.50;2.81;2.76;2.76;0.92;0.92;0.00
wemh;2029;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.89;0.00;0.00
wemh;2029;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.19;0.00
wemh;2029;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.15
wemh;2029;pauto;0.98;0.91;0.91;0.96;0.32;0.00;0.33;0.12;0.00
wemh;2029;kauto;2.55;2.31;2.20;1.98;2.78;2.78;1.39;1.73;0.00
wemh;2030;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2030;bussi;2.58;2.58;2.35;2.64;2.60;2.60;0.87;0.87;0.00
wemh;2030;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.72;0.00;0.00
wemh;2030;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.19;0.00
wemh;2030;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.14
wemh;2030;pauto;0.96;0.90;0.90;0.96;0.32;0.00;0.33;0.12;0.00
wemh;2030;kauto;2.50;2.27;2.16;1.95;2.72;2.72;1.36;1.70;0.00
wemh;2031;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2031;bussi;2.43;2.43;2.21;2.48;2.45;2.45;0.82;0.82;0.00
wemh;2031;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.74;0.00;0.00
wemh;2031;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.17;0.19;0.00
wemh;2031;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.12
wemh;2031;pauto;0.95;0.89;0.89;0.96;0.32;0.00;0.33;0.12;0.00
wemh;2031;kauto;2.45;2.23;2.12;1.91;2.67;2.67;1.33;1.67;0.00
wemh;2032;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2032;bussi;2.29;2.29;2.08;2.34;2.30;2.30;0.77;0.77;0.00
wemh;2032;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.76;0.00;0.00
wemh;2032;hlauto;0.59;0.61;0.58;0.55;0.40;0.38;0.17;0.19;0.00
wemh;2032;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.10
wemh;2032;pauto;0.94;0.88;0.88;0.96;0.32;0.00;0.33;0.12;0.00
wemh;2032;kauto;2.40;2.18;2.08;1.87;2.62;2.62;1.31;1.63;0.00
wemh;2033;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2033;bussi;2.16;2.16;1.97;2.21;2.17;2.17;0.72;0.72;0.00
wemh;2033;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.77;0.00;0.00
wemh;2033;hlauto;0.59;0.61;0.58;0.56;0.40;0.38;0.17;0.19;0.00
wemh;2033;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.08
wemh;2033;pauto;0.93;0.87;0.87;0.96;0.31;0.00;0.33;0.12;0.00
wemh;2033;kauto;2.35;2.14;2.03;1.83;2.56;2.56;1.28;1.60;0.00
wemh;2034;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2034;bussi;2.04;2.04;1.86;2.09;2.06;2.06;0.69;0.69;0.00
wemh;2034;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.79;0.00;0.00
wemh;2034;hlauto;0.59;0.61;0.57;0.56;0.40;0.38;0.17;0.19;0.00
wemh;2034;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.06
wemh;2034;pauto;0.92;0.86;0.86;0.95;0.31;0.00;0.33;0.12;0.00
wemh;2034;kauto;2.30;2.09;1.99;1.79;2.51;2.51;1.25;1.57;0.00
wemh;2035;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2035;bussi;1.94;1.94;1.76;1.98;1.95;1.95;0.65;0.65;0.00
wemh;2035;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.81;0.00;0.00
wemh;2035;hlauto;0.59;0.61;0.57;0.56;0.40;0.38;0.17;0.18;0.00
wemh;2035;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.04
wemh;2035;pauto;0.91;0.85;0.85;0.95;0.31;0.00;0.33;0.12;0.00
wemh;2035;kauto;2.25;2.05;1.95;1.76;2.46;2.46;1.23;1.53;0.00
wemh;2036;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2036;bussi;1.84;1.84;1.67;1.88;1.85;1.85;0.62;0.62;0.00
wemh;2036;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.83;0.00;0.00
wemh;2036;hlauto;0.59;0.62;0.57;0.56;0.40;0.38;0.17;0.18;0.00
wemh;2036;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.03
wemh;2036;pauto;0.91;0.84;0.84;0.95;0.31;0.00;0.33;0.12;0.00
wemh;2036;kauto;2.21;2.01;1.91;1.72;2.40;2.40;1.20;1.50;0.00
wemh;2037;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2037;bussi;1.75;1.75;1.60;1.79;1.77;1.77;0.59;0.59;0.00
wemh;2037;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.85;0.00;0.00
wemh;2037;hlauto;0.59;0.62;0.57;0.56;0.40;0.38;0.17;0.18;0.00
wemh;2037;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.01
wemh;2037;pauto;0.90;0.84;0.84;0.95;0.31;0.00;0.32;0.12;0.00
wemh;2037;kauto;2.16;1.96;1.87;1.68;2.36;2.36;1.18;1.47;0.00
wemh;2038;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2038;bussi;1.68;1.68;1.53;1.72;1.69;1.69;0.56;0.56;0.00
wemh;2038;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.87;0.00;0.00
wemh;2038;hlauto;0.59;0.62;0.57;0.56;0.40;0.39;0.17;0.18;0.00
wemh;2038;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.99
wemh;2038;pauto;0.90;0.83;0.83;0.95;0.31;0.00;0.32;0.12;0.00
wemh;2038;kauto;2.12;1.92;1.83;1.65;2.31;2.31;1.15;1.44;0.00
wemh;2039;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2039;bussi;1.62;1.62;1.47;1.65;1.63;1.63;0.54;0.54;0.00
wemh;2039;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.89;0.00;0.00
wemh;2039;hlauto;0.58;0.62;0.57;0.56;0.40;0.39;0.17;0.18;0.00
wemh;2039;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.98
wemh;2039;pauto;0.89;0.82;0.82;0.95;0.31;0.00;0.32;0.12;0.00
wemh;2039;kauto;2.08;1.89;1.80;1.62;2.26;2.26;1.13;1.41;0.00
wemh;2040;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2040;bussi;1.56;1.56;1.42;1.59;1.57;1.57;0.52;0.52;0.00
wemh;2040;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.91;0.00;0.00
wemh;2040;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.17;0.18;0.00
wemh;2040;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.96
wemh;2040;pauto;0.88;0.82;0.82;0.95;0.31;0.00;0.32;0.12;0.00
wemh;2040;kauto;2.04;1.85;1.76;1.59;2.22;2.22;1.11;1.39;0.00
wemh;2041;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2041;bussi;1.52;1.52;1.38;1.55;1.52;1.52;0.51;0.51;0.00
wemh;2041;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.93;0.00;0.00
wemh;2041;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.17;0.18;0.00
wemh;2041;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.95
wemh;2041;pauto;0.88;0.81;0.81;0.94;0.31;0.00;0.32;0.12;0.00
wemh;2041;kauto;2.00;1.82;1.73;1.56;2.18;2.18;1.09;1.36;0.00
wemh;2042;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2042;bussi;1.48;1.48;1.35;1.51;1.49;1.49;0.50;0.50;0.00
wemh;2042;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.95;0.00;0.00
wemh;2042;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.17;0.17;0.00
wemh;2042;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.94
wemh;2042;pauto;0.87;0.81;0.81;0.94;0.31;0.00;0.32;0.12;0.00
wemh;2042;kauto;1.96;1.78;1.70;1.53;2.14;2.14;1.07;1.34;0.00
wemh;2043;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2043;bussi;1.46;1.46;1.32;1.49;1.46;1.46;0.49;0.49;0.00
wemh;2043;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.97;0.00;0.00
wemh;2043;hlauto;0.58;0.62;0.56;0.56;0.40;0.39;0.18;0.17;0.00
wemh;2043;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.93
wemh;2043;pauto;0.87;0.80;0.80;0.94;0.31;0.00;0.32;0.12;0.00
wemh;2043;kauto;1.93;1.75;1.67;1.50;2.10;2.10;1.05;1.31;0.00
wemh;2044;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2044;bussi;1.44;1.44;1.31;1.47;1.45;1.45;0.48;0.48;0.00
wemh;2044;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.99;0.00;0.00
wemh;2044;hlauto;0.58;0.63;0.55;0.56;0.40;0.39;0.18;0.17;0.00
wemh;2044;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.92
wemh;2044;pauto;0.86;0.80;0.80;0.94;0.31;0.00;0.32;0.12;0.00
wemh;2044;kauto;1.89;1.72;1.64;1.48;2.07;2.07;1.03;1.29;0.00
wemh;2045;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2045;bussi;1.43;1.43;1.30;1.46;1.44;1.44;0.48;0.48;0.00
wemh;2045;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.01;0.00;0.00
wemh;2045;hlauto;0.58;0.63;0.55;0.56;0.40;0.39;0.18;0.17;0.00
wemh;2045;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.91
wemh;2045;pauto;0.86;0.79;0.79;0.94;0.31;0.00;0.32;0.12;0.00
wemh;2045;kauto;1.86;1.69;1.61;1.45;2.03;2.03;1.02;1.27;0.00
wemh;2046;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2046;bussi;1.42;1.42;1.30;1.46;1.43;1.43;0.48;0.48;0.00
wemh;2046;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.03;0.00;0.00
wemh;2046;hlauto;0.58;0.63;0.55;0.56;0.40;0.39;0.18;0.17;0.00
wemh;2046;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.90
wemh;2046;pauto;0.85;0.79;0.79;0.93;0.31;0.00;0.31;0.12;0.00
wemh;2046;kauto;1.83;1.67;1.59;1.43;2.00;2.00;1.00;1.25;0.00
wemh;2047;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2047;bussi;1.43;1.43;1.30;1.46;1.43;1.43;0.48;0.48;0.00
wemh;2047;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.05;0.00;0.00
wemh;2047;hlauto;0.58;0.63;0.54;0.57;0.40;0.39;0.18;0.17;0.00
wemh;2047;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.89
wemh;2047;pauto;0.85;0.78;0.78;0.93;0.31;0.00;0.31;0.12;0.00
wemh;2047;kauto;1.81;1.64;1.56;1.41;1.97;1.97;0.98;1.23;0.00
wemh;2048;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2048;bussi;1.43;1.43;1.30;1.46;1.44;1.44;0.48;0.48;0.00
wemh;2048;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.07;0.00;0.00
wemh;2048;hlauto;0.58;0.63;0.54;0.57;0.40;0.39;0.18;0.16;0.00
wemh;2048;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.88
wemh;2048;pauto;0.84;0.78;0.78;0.93;0.31;0.00;0.31;0.12;0.00
wemh;2048;kauto;1.78;1.62;1.54;1.39;1.94;1.94;0.97;1.21;0.00
wemh;2049;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2049;bussi;1.44;1.44;1.31;1.47;1.45;1.45;0.48;0.48;0.00
wemh;2049;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.09;0.00;0.00
wemh;2049;hlauto;0.57;0.63;0.54;0.57;0.40;0.39;0.18;0.16;0.00
wemh;2049;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.87
wemh;2049;pauto;0.84;0.77;0.77;0.92;0.31;0.00;0.31;0.12;0.00
wemh;2049;kauto;1.75;1.59;1.52;1.37;1.91;1.91;0.96;1.19;0.00
wemh;2050;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
wemh;2050;bussi;1.45;1.45;1.32;1.48;1.46;1.46;0.49;0.49;0.00
wemh;2050;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.12;0.00;0.00
wemh;2050;hlauto;0.57;0.63;0.53;0.57;0.40;0.39;0.18;0.16;0.00
wemh;2050;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.87
wemh;2050;pauto;0.84;0.77;0.77;0.92;0.31;0.00;0.31;0.12;0.00
wemh;2050;kauto;1.73;1.57;1.49;1.35;1.88;1.88;0.94;1.18;0.00
weml;2018;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2018;bussi;4.23;4.23;3.85;4.32;4.26;4.26;1.42;1.42;0.00
weml;2018;raide;0.00;0.00;0.00;0.00;0.00;0.00;10.57;0.00;0.00
weml;2018;hlauto;0.63;0.59;0.59;0.54;0.41;0.39;0.19;0.20;0.00
weml;2018;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26
weml;2018;pauto;1.18;1.07;1.07;0.98;0.33;0.00;0.36;0.12;0.00
weml;2018;kauto;2.75;2.50;2.38;2.14;2.99;2.99;1.50;1.87;0.00
weml;2019;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2019;bussi;4.11;4.11;3.74;4.20;4.13;4.13;1.38;1.38;0.00
weml;2019;raide;0.00;0.00;0.00;0.00;0.00;0.00;10.51;0.00;0.00
weml;2019;hlauto;0.63;0.59;0.59;0.55;0.41;0.39;0.19;0.20;0.00
weml;2019;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.26
weml;2019;pauto;1.16;1.06;1.06;0.98;0.33;0.00;0.36;0.12;0.00
weml;2019;kauto;2.74;2.49;2.37;2.13;2.98;2.98;1.49;1.87;0.00
weml;2020;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2020;bussi;3.99;3.99;3.63;4.08;4.01;4.01;1.34;1.34;0.00
weml;2020;raide;0.00;0.00;0.00;0.00;0.00;0.00;10.46;0.00;0.00
weml;2020;hlauto;0.63;0.59;0.59;0.55;0.41;0.39;0.19;0.20;0.00
weml;2020;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.25
weml;2020;pauto;1.15;1.05;1.05;0.98;0.33;0.00;0.35;0.12;0.00
weml;2020;kauto;2.73;2.48;2.36;2.13;2.98;2.98;1.49;1.86;0.00
weml;2021;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2021;bussi;3.87;3.87;3.52;3.96;3.90;3.90;1.30;1.30;0.00
weml;2021;raide;0.00;0.00;0.00;0.00;0.00;0.00;9.86;0.00;0.00
weml;2021;hlauto;0.62;0.60;0.59;0.55;0.41;0.39;0.19;0.20;0.00
weml;2021;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.25
weml;2021;pauto;1.14;1.04;1.04;0.97;0.33;0.00;0.35;0.12;0.00
weml;2021;kauto;2.72;2.48;2.36;2.12;2.97;2.97;1.48;1.86;0.00
weml;2022;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2022;bussi;3.76;3.76;3.42;3.84;3.79;3.79;1.26;1.26;0.00
weml;2022;raide;0.00;0.00;0.00;0.00;0.00;0.00;9.28;0.00;0.00
weml;2022;hlauto;0.62;0.60;0.59;0.55;0.41;0.39;0.18;0.20;0.00
weml;2022;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.24
weml;2022;pauto;1.13;1.03;1.03;0.97;0.33;0.00;0.35;0.12;0.00
weml;2022;kauto;2.72;2.47;2.35;2.12;2.96;2.96;1.48;1.85;0.00
weml;2023;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2023;bussi;3.65;3.65;3.32;3.73;3.68;3.68;1.23;1.23;0.00
weml;2023;raide;0.00;0.00;0.00;0.00;0.00;0.00;8.72;0.00;0.00
weml;2023;hlauto;0.62;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
weml;2023;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.23
weml;2023;pauto;1.10;1.01;1.01;0.97;0.32;0.00;0.34;0.12;0.00
weml;2023;kauto;2.71;2.46;2.35;2.11;2.95;2.95;1.48;1.85;0.00
weml;2024;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2024;bussi;3.54;3.54;3.22;3.62;3.57;3.57;1.19;1.19;0.00
weml;2024;raide;0.00;0.00;0.00;0.00;0.00;0.00;8.16;0.00;0.00
weml;2024;hlauto;0.61;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
weml;2024;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.23
weml;2024;pauto;1.07;0.99;0.99;0.97;0.32;0.00;0.34;0.12;0.00
weml;2024;kauto;2.70;2.45;2.34;2.10;2.94;2.94;1.47;1.84;0.00
weml;2025;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2025;bussi;3.40;3.40;3.10;3.48;3.43;3.43;1.14;1.14;0.00
weml;2025;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.62;0.00;0.00
weml;2025;hlauto;0.61;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
weml;2025;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.22
weml;2025;pauto;1.05;0.98;0.98;0.97;0.32;0.00;0.34;0.12;0.00
weml;2025;kauto;2.68;2.44;2.32;2.09;2.92;2.92;1.46;1.83;0.00
weml;2026;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2026;bussi;3.25;3.25;2.95;3.32;3.27;3.27;1.09;1.09;0.00
weml;2026;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.43;0.00;0.00
weml;2026;hlauto;0.61;0.60;0.59;0.55;0.41;0.38;0.18;0.20;0.00
weml;2026;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.21
weml;2026;pauto;1.03;0.96;0.96;0.97;0.32;0.00;0.34;0.12;0.00
weml;2026;kauto;2.66;2.41;2.30;2.07;2.89;2.89;1.45;1.81;0.00
weml;2027;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2027;bussi;3.08;3.08;2.80;3.15;3.10;3.10;1.03;1.03;0.00
weml;2027;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.25;0.00;0.00
weml;2027;hlauto;0.61;0.60;0.58;0.55;0.41;0.38;0.18;0.20;0.00
weml;2027;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.19
weml;2027;pauto;1.01;0.94;0.94;0.96;0.32;0.00;0.34;0.12;0.00
weml;2027;kauto;2.62;2.39;2.27;2.05;2.86;2.86;1.43;1.79;0.00
weml;2028;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2028;bussi;2.91;2.91;2.65;2.98;2.93;2.93;0.98;0.98;0.00
weml;2028;raide;0.00;0.00;0.00;0.00;0.00;0.00;7.07;0.00;0.00
weml;2028;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.20;0.00
weml;2028;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.18
weml;2028;pauto;0.99;0.93;0.93;0.96;0.32;0.00;0.34;0.12;0.00
weml;2028;kauto;2.59;2.35;2.24;2.02;2.82;2.82;1.41;1.76;0.00
weml;2029;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2029;bussi;2.75;2.75;2.50;2.81;2.76;2.76;0.92;0.92;0.00
weml;2029;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.89;0.00;0.00
weml;2029;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.19;0.00
weml;2029;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.16
weml;2029;pauto;0.98;0.91;0.91;0.96;0.32;0.00;0.33;0.12;0.00
weml;2029;kauto;2.55;2.31;2.20;1.98;2.78;2.78;1.39;1.73;0.00
weml;2030;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2030;bussi;2.58;2.58;2.35;2.64;2.60;2.60;0.87;0.87;0.00
weml;2030;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.72;0.00;0.00
weml;2030;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.18;0.19;0.00
weml;2030;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.14
weml;2030;pauto;0.96;0.90;0.90;0.96;0.32;0.00;0.33;0.12;0.00
weml;2030;kauto;2.50;2.27;2.16;1.95;2.72;2.72;1.36;1.70;0.00
weml;2031;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2031;bussi;2.43;2.43;2.21;2.48;2.45;2.45;0.82;0.82;0.00
weml;2031;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.74;0.00;0.00
weml;2031;hlauto;0.60;0.61;0.58;0.55;0.40;0.38;0.17;0.19;0.00
weml;2031;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.12
weml;2031;pauto;0.95;0.89;0.89;0.96;0.32;0.00;0.33;0.12;0.00
weml;2031;kauto;2.45;2.23;2.12;1.91;2.67;2.67;1.33;1.67;0.00
weml;2032;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2032;bussi;2.29;2.29;2.08;2.34;2.30;2.30;0.77;0.77;0.00
weml;2032;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.76;0.00;0.00
weml;2032;hlauto;0.59;0.61;0.58;0.55;0.40;0.38;0.17;0.19;0.00
weml;2032;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.10
weml;2032;pauto;0.94;0.88;0.88;0.96;0.32;0.00;0.33;0.12;0.00
weml;2032;kauto;2.40;2.18;2.08;1.87;2.62;2.62;1.31;1.63;0.00
weml;2033;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2033;bussi;2.16;2.16;1.97;2.21;2.17;2.17;0.72;0.72;0.00
weml;2033;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.77;0.00;0.00
weml;2033;hlauto;0.59;0.61;0.58;0.56;0.40;0.38;0.17;0.19;0.00
weml;2033;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.08
weml;2033;pauto;0.93;0.87;0.87;0.96;0.31;0.00;0.33;0.12;0.00
weml;2033;kauto;2.35;2.14;2.03;1.83;2.56;2.56;1.28;1.60;0.00
weml;2034;jalkapyora;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
weml;2034;bussi;2.04;2.04;1.86;2.09;2.06;2.06;0.69;0.69;0.00
weml;2034;raide;0.00;0.00;0.00;0.00;0.00;0.00;6.79;0.00;0.00
weml;2034;hlauto;0.59;0.61;0.57;0.56;0.40;0.38;0.17;0.19;0.00
weml;2034;muu;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.07
