mun;scenario;year;jalkapyora;bussi;raide;hlauto;muu
922;pysahdys;2029;1;33;348;1.3;1.8
922;pysahdys;2030;1;33;348;1.3;1.8
922;pysahdys;2031;1;33;348;1.3;1.8
922;pysahdys;2032;1;33;348;1.3;1.8
922;pysahdys;2033;1;33;348;1.3;1.8
922;pysahdys;2034;1;33;348;1.3;1.8
922;pysahdys;2035;1;33;348;1.3;1.8
922;pysahdys;2036;1;33;348;1.3;1.8
922;pysahdys;2037;1;33;348;1.3;1.8
922;pysahdys;2038;1;33;348;1.3;1.8
922;pysahdys;2039;1;33;348;1.3;1.8
922;pysahdys;2040;1;33;348;1.3;1.8
922;pysahdys;2041;1;33;348;1.3;1.8
922;pysahdys;2042;1;33;348;1.3;1.8
922;pysahdys;2043;1;33;348;1.3;1.8
922;pysahdys;2044;1;33;348;1.3;1.8
922;pysahdys;2045;1;33;348;1.3;1.8
922;pysahdys;2046;1;33;348;1.3;1.8
922;pysahdys;2047;1;33;348;1.3;1.8
922;pysahdys;2048;1;33;348;1.3;1.8
922;pysahdys;2049;1;33;348;1.3;1.8
922;pysahdys;2050;1;33;348;1.3;1.8
837;wem;2017;1;33;408;1.3;1.8
837;wem;2018;1;33;408;1.3;1.8
837;wem;2019;1;33;408;1.3;1.8
837;wem;2020;1;33;408;1.3;1.8
837;wem;2021;1;33;393;1.3;1.8
837;wem;2022;1;33;386;1.3;1.8
837;wem;2023;1;33;378;1.3;1.8
837;wem;2024;1;33;371;1.3;1.8
837;wem;2025;1;33;363;1.3;1.8
837;wem;2026;1;33;356;1.3;1.8
837;wem;2027;1;33;348;1.3;1.8
837;wem;2028;1;33;348;1.3;1.8
837;wem;2029;1;33;348;1.3;1.8
837;wem;2030;1;33;348;1.3;1.8
837;wem;2031;1;33;348;1.3;1.8
837;wem;2032;1;33;348;1.3;1.8
837;wem;2033;1;33;348;1.3;1.8
837;wem;2034;1;33;348;1.3;1.8
837;wem;2035;1;33;348;1.3;1.8
837;wem;2036;1;33;348;1.3;1.8
837;wem;2037;1;33;348;1.3;1.8
837;wem;2038;1;33;348;1.3;1.8
837;wem;2039;1;33;348;1.3;1.8
837;wem;2040;1;33;348;1.3;1.8
837;wem;2041;1;33;348;1.3;1.8
837;wem;2042;1;33;348;1.3;1.8
837;wem;2043;1;33;348;1.3;1.8
837;wem;2044;1;33;348;1.3;1.8
837;wem;2045;1;33;348;1.3;1.8
837;wem;2046;1;33;348;1.3;1.8
837;wem;2047;1;33;348;1.3;1.8
837;wem;2048;1;33;348;1.3;1.8
837;wem;2049;1;33;348;1.3;1.8
837;wem;2050;1;33;348;1.3;1.8
837;eu80;2017;1;33;408;1.3;1.8
837;eu80;2018;1;33;408;1.3;1.8
837;eu80;2019;1;33;408;1.3;1.8
837;eu80;2020;1;33;408;1.3;1.8
837;eu80;2021;1;33;393;1.3;1.8
837;eu80;2022;1;33;386;1.3;1.8
837;eu80;2023;1;33;378;1.3;1.8
837;eu80;2024;1;33;371;1.3;1.8
837;eu80;2025;1;33;363;1.3;1.8
837;eu80;2026;1;33;356;1.3;1.8
837;eu80;2027;1;33;348;1.3;1.8
837;eu80;2028;1;33;348;1.3;1.8
837;eu80;2029;1;33;348;1.3;1.8
837;eu80;2030;1;33;348;1.3;1.8
837;eu80;2031;1;33;348;1.3;1.8
837;eu80;2032;1;33;348;1.3;1.8
837;eu80;2033;1;33;348;1.3;1.8
837;eu80;2034;1;33;348;1.3;1.8
837;eu80;2035;1;33;348;1.3;1.8
837;eu80;2036;1;33;348;1.3;1.8
837;eu80;2037;1;33;348;1.3;1.8
837;eu80;2038;1;33;348;1.3;1.8
837;eu80;2039;1;33;348;1.3;1.8
837;eu80;2040;1;33;348;1.3;1.8
837;eu80;2041;1;33;348;1.3;1.8
837;eu80;2042;1;33;348;1.3;1.8
837;eu80;2043;1;33;348;1.3;1.8
837;eu80;2044;1;33;348;1.3;1.8
837;eu80;2045;1;33;348;1.3;1.8
837;eu80;2046;1;33;348;1.3;1.8
837;eu80;2047;1;33;348;1.3;1.8
837;eu80;2048;1;33;348;1.3;1.8
837;eu80;2049;1;33;348;1.3;1.8
837;eu80;2050;1;33;348;1.3;1.8
837;kasvu;2017;1;33;408;1.3;1.8
837;kasvu;2018;1;33;408;1.3;1.8
837;kasvu;2019;1;33;408;1.3;1.8
837;kasvu;2020;1;33;408;1.3;1.8
837;kasvu;2021;1;33;393;1.3;1.8
837;kasvu;2022;1;33;386;1.3;1.8
837;kasvu;2023;1;33;378;1.3;1.8
837;kasvu;2024;1;33;371;1.3;1.8
837;kasvu;2025;1;33;363;1.3;1.8
837;kasvu;2026;1;33;356;1.3;1.8
837;kasvu;2027;1;33;348;1.3;1.8
837;kasvu;2028;1;33;348;1.3;1.8
837;kasvu;2029;1;33;348;1.3;1.8
837;kasvu;2030;1;33;348;1.3;1.8
837;kasvu;2031;1;33;348;1.3;1.8
837;kasvu;2032;1;33;348;1.3;1.8
837;kasvu;2033;1;33;348;1.3;1.8
837;kasvu;2034;1;33;348;1.3;1.8
837;kasvu;2035;1;33;348;1.3;1.8
837;kasvu;2036;1;33;348;1.3;1.8
837;kasvu;2037;1;33;348;1.3;1.8
837;kasvu;2038;1;33;348;1.3;1.8
837;kasvu;2039;1;33;348;1.3;1.8
837;kasvu;2040;1;33;348;1.3;1.8
837;kasvu;2041;1;33;348;1.3;1.8
837;kasvu;2042;1;33;348;1.3;1.8
