zone;jalkapyora;bussi;raide;hlauto;muu
1;0.08;0.18;0;0.11;0
2;0.07;0.14;0;0.11;0
3;0.1;0.08;0;0.1;0
5;0.07;0.025;0;0.09;0
10;0.06;0.18;0;0.13;0
4;0.06;0.06;0;0.11;0.0375
6;0.04;0.08;0;0.14;0
