scenario;year;kmuoto;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll
eu80;2049;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;56;81
eu80;2050;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;36;81
eu80;2050;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;56;81
kasvu;2017;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2017;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2018;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2018;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;51;81
kasvu;2019;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2019;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2020;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2020;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2021;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2021;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2022;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2022;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2023;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2023;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2024;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2024;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2025;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2025;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2026;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2026;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2027;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2027;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2028;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2028;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2029;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2029;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2030;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
kasvu;2030;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
kasvu;2031;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;30;78
kasvu;2031;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;50;78
kasvu;2032;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;30;78
kasvu;2032;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;50;78
kasvu;2033;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;30;78
kasvu;2033;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
kasvu;2034;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;30;78
kasvu;2034;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
kasvu;2035;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
kasvu;2035;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
kasvu;2036;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
kasvu;2036;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
kasvu;2037;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
kasvu;2037;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
kasvu;2038;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
kasvu;2038;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
kasvu;2039;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
kasvu;2039;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
kasvu;2040;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
kasvu;2040;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
kasvu;2041;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;29;75
kasvu;2041;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;49;75
kasvu;2042;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;29;75
kasvu;2042;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;49;75
kasvu;2043;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;29;75
kasvu;2043;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
kasvu;2044;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;29;75
kasvu;2044;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
kasvu;2045;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
kasvu;2045;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
kasvu;2046;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
kasvu;2046;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
kasvu;2047;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
kasvu;2047;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
kasvu;2048;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
kasvu;2048;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
kasvu;2049;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
kasvu;2049;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
kasvu;2050;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;28;75
kasvu;2050;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
muutos;2017;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
muutos;2017;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
muutos;2018;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
muutos;2018;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;51;81
muutos;2019;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
muutos;2019;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
muutos;2020;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
muutos;2020;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
muutos;2021;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
muutos;2021;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
muutos;2022;pauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;30;81
muutos;2022;kauto;50;20;10;30;45;20;21;30;15;15;15;0;50;5;50;81
muutos;2023;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;30;78
muutos;2023;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;50;78
muutos;2024;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;30;78
muutos;2024;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
muutos;2025;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
muutos;2025;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
muutos;2026;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
muutos;2026;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
muutos;2027;pauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;29;78
muutos;2027;kauto;49;19;9;29;44;19;20;29;14;14;14;0;49;4;49;78
muutos;2028;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;29;75
muutos;2028;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;49;75
muutos;2029;pauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;29;75
muutos;2029;kauto;48;18;8;28;43;18;19;28;13;13;13;0;48;3;48;75
