mun;scenario;year;rakv;erpien;rivita;askert;liike;tsto;liiken;hoito;kokoon;opetus;teoll;varast;muut
980;wem;2023;1939;153;148;103;227;197;133;241;158;231;217;167;133
980;wem;2023;1949;154;159;106;221;197;135;241;154;231;164;154;135
980;wem;2023;1959;151;165;108;221;193;137;240;151;226;141;151;137
980;wem;2023;1969;153;148;111;181;134;107;195;125;172;130;158;107
980;wem;2023;1979;130;139;102;153;111;88;162;107;144;102;121;88
980;wem;2023;1989;116;116;91;149;111;87;159;101;140;101;116;87
980;wem;2023;1999;114;124;104;139;104;79;144;89;129;94;104;79
980;wem;2023;2009;120;105;100;125;95;70;125;75;115;85;90;70
980;wem;2023;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2023;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2023;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2023;2020;63;42;38;53;53;40;85;53;68;40;40;40
980;wem;2023;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2023;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2023;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2024;9999;129;120;105;159;134;85;219;125;144;110;125;85
980;wem;2024;1920;139;125;95;229;199;125;234;159;234;274;179;125
980;wem;2024;1929;143;134;94;228;198;129;237;158;232;257;168;129
980;wem;2024;1939;152;147;103;226;197;133;241;157;231;216;167;133
980;wem;2024;1949;154;159;106;221;197;134;240;154;231;163;154;134
980;wem;2024;1959;149;163;107;219;191;135;238;149;224;140;149;135
980;wem;2024;1969;151;147;110;179;133;106;193;124;170;129;156;106
980;wem;2024;1979;128;137;100;151;110;87;160;105;142;100;119;87
980;wem;2024;1989;114;114;91;148;110;86;157;100;138;100;114;86
980;wem;2024;1999;114;124;104;138;104;79;143;89;129;94;104;79
980;wem;2024;2009;120;105;100;125;95;70;125;75;115;85;90;70
980;wem;2024;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2024;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2024;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2024;2020;63;42;38;53;53;40;85;53;68;40;40;40
980;wem;2024;2021;60;39;35;50;50;40;85;50;65;40;40;40
980;wem;2024;2022;59;39;35;50;50;40;85;50;65;40;40;40
980;wem;2024;2023;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2024;2024;58;39;34;49;49;39;84;49;64;39;40;39
980;wem;2025;9999;129;119;105;159;134;85;219;124;144;110;124;85
980;wem;2025;1920;139;124;95;229;199;124;234;159;234;274;179;124
980;wem;2025;1929;143;133;94;227;198;129;237;158;232;257;168;129
980;wem;2025;1939;152;147;103;225;196;132;240;157;230;216;167;132
980;wem;2025;1949;153;158;105;220;196;134;240;153;230;163;153;134
980;wem;2025;1959;148;161;106;217;189;134;235;148;221;138;148;134
980;wem;2025;1969;150;145;109;177;132;105;191;123;168;127;155;105
980;wem;2025;1979;126;135;99;148;108;85;157;103;139;99;117;85
980;wem;2025;1989;113;113;90;146;109;85;156;99;137;99;113;85
980;wem;2025;1999;113;123;104;138;104;79;143;89;128;94;104;79
980;wem;2025;2009;120;105;100;125;95;70;125;75;115;85;90;70
980;wem;2025;2010;75;75;60;80;60;50;95;60;75;45;45;50
980;wem;2025;2018;74;71;58;77;55;40;85;55;74;40;40;40
980;wem;2025;2019;65;45;40;55;55;40;85;55;70;40;40;40
980;wem;2025;2020;63;42;38;53;53;40;85;53;68;40;40;40
