scenario;rakv;rakennus_tyyppi;sahko_kiinteisto_kwhm2
wem;2048;askert;22
wem;2048;liike;25
wem;2048;tsto;20
wem;2048;liiken;25
wem;2048;hoito;35
wem;2048;kokoon;25
wem;2048;opetus;20
wem;2048;teoll;0
wem;2048;varast;0
wem;2048;muut;25
wem;2049;erpien;10
wem;2049;rivita;20
wem;2049;askert;22
wem;2049;liike;25
wem;2049;tsto;20
wem;2049;liiken;25
wem;2049;hoito;35
wem;2049;kokoon;25
wem;2049;opetus;20
wem;2049;teoll;0
wem;2049;varast;0
wem;2049;muut;25
wem;2050;erpien;10
wem;2050;rivita;20
wem;2050;askert;22
wem;2050;liike;25
wem;2050;tsto;20
wem;2050;liiken;25
wem;2050;hoito;35
wem;2050;kokoon;25
wem;2050;opetus;20
wem;2050;teoll;0
wem;2050;varast;0
wem;2050;muut;25
eu80;9999;erpien;1
eu80;9999;rivita;5
eu80;9999;askert;5
eu80;9999;liike;15
eu80;9999;tsto;10
eu80;9999;liiken;15
eu80;9999;hoito;30
eu80;9999;kokoon;15
eu80;9999;opetus;10
eu80;9999;teoll;0
eu80;9999;varast;0
eu80;9999;muut;15
eu80;1920;erpien;1
eu80;1920;rivita;5
eu80;1920;askert;5
eu80;1920;liike;15
eu80;1920;tsto;10
eu80;1920;liiken;15
eu80;1920;hoito;30
eu80;1920;kokoon;15
eu80;1920;opetus;10
eu80;1920;teoll;0
eu80;1920;varast;0
eu80;1920;muut;15
eu80;1929;erpien;1
eu80;1929;rivita;6
eu80;1929;askert;6
eu80;1929;liike;15
eu80;1929;tsto;10
eu80;1929;liiken;15
eu80;1929;hoito;30
eu80;1929;kokoon;15
eu80;1929;opetus;10
eu80;1929;teoll;0
eu80;1929;varast;0
eu80;1929;muut;15
eu80;1939;erpien;2
eu80;1939;rivita;7
eu80;1939;askert;7
eu80;1939;liike;17
eu80;1939;tsto;12
eu80;1939;liiken;17
eu80;1939;hoito;32
eu80;1939;kokoon;17
eu80;1939;opetus;12
eu80;1939;teoll;0
eu80;1939;varast;0
eu80;1939;muut;17
eu80;1949;erpien;2
eu80;1949;rivita;10
eu80;1949;askert;9
eu80;1949;liike;19
eu80;1949;tsto;14
eu80;1949;liiken;19
eu80;1949;hoito;34
eu80;1949;kokoon;19
eu80;1949;opetus;14
eu80;1949;teoll;0
eu80;1949;varast;0
eu80;1949;muut;19
eu80;1959;erpien;3
eu80;1959;rivita;12
eu80;1959;askert;12
eu80;1959;liike;20
eu80;1959;tsto;15
eu80;1959;liiken;20
eu80;1959;hoito;35
eu80;1959;kokoon;20
eu80;1959;opetus;15
eu80;1959;teoll;0
eu80;1959;varast;0
eu80;1959;muut;20
eu80;1969;erpien;7
eu80;1969;rivita;14
eu80;1969;askert;16
eu80;1969;liike;25
eu80;1969;tsto;20
eu80;1969;liiken;25
eu80;1969;hoito;40
eu80;1969;kokoon;25
eu80;1969;opetus;20
eu80;1969;teoll;0
eu80;1969;varast;0
eu80;1969;muut;25
eu80;1979;erpien;10
eu80;1979;rivita;18
eu80;1979;askert;20
eu80;1979;liike;30
eu80;1979;tsto;25
eu80;1979;liiken;30
eu80;1979;hoito;45
eu80;1979;kokoon;30
eu80;1979;opetus;25
eu80;1979;teoll;0
eu80;1979;varast;0
eu80;1979;muut;30
eu80;1989;erpien;15
eu80;1989;rivita;16
eu80;1989;askert;19
eu80;1989;liike;27
eu80;1989;tsto;22
eu80;1989;liiken;27
eu80;1989;hoito;42
eu80;1989;kokoon;27
eu80;1989;opetus;22
eu80;1989;teoll;0
eu80;1989;varast;0
eu80;1989;muut;27
eu80;1999;erpien;18
eu80;1999;rivita;14
eu80;1999;askert;19
eu80;1999;liike;25
eu80;1999;tsto;20
eu80;1999;liiken;25
eu80;1999;hoito;40
eu80;1999;kokoon;25
