scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
wem;2028;liiken;2
wem;2028;hoito;26
wem;2028;kokoon;6
wem;2028;opetus;8
wem;2028;teoll;7
wem;2028;varast;4
wem;2028;muut;7
wem;2029;erpien;27
wem;2029;rivita;29
wem;2029;askert;26
wem;2029;liike;33
wem;2029;tsto;3
wem;2029;liiken;2
wem;2029;hoito;26
wem;2029;kokoon;6
wem;2029;opetus;8
wem;2029;teoll;7
wem;2029;varast;4
wem;2029;muut;7
wem;2030;erpien;27
wem;2030;rivita;29
wem;2030;askert;26
wem;2030;liike;33
wem;2030;tsto;3
wem;2030;liiken;2
wem;2030;hoito;26
wem;2030;kokoon;6
wem;2030;opetus;8
wem;2030;teoll;7
wem;2030;varast;4
wem;2030;muut;7
wem;2031;erpien;27
wem;2031;rivita;29
wem;2031;askert;26
wem;2031;liike;33
wem;2031;tsto;3
wem;2031;liiken;2
wem;2031;hoito;26
wem;2031;kokoon;6
wem;2031;opetus;8
wem;2031;teoll;7
wem;2031;varast;4
wem;2031;muut;7
wem;2032;erpien;27
wem;2032;rivita;29
wem;2032;askert;26
wem;2032;liike;33
wem;2032;tsto;3
wem;2032;liiken;2
wem;2032;hoito;26
wem;2032;kokoon;6
wem;2032;opetus;8
wem;2032;teoll;7
wem;2032;varast;4
wem;2032;muut;7
wem;2033;erpien;27
wem;2033;rivita;29
wem;2033;askert;26
wem;2033;liike;33
wem;2033;tsto;3
wem;2033;liiken;2
wem;2033;hoito;26
wem;2033;kokoon;6
wem;2033;opetus;8
wem;2033;teoll;7
wem;2033;varast;4
wem;2033;muut;7
wem;2034;erpien;27
wem;2034;rivita;29
wem;2034;askert;26
wem;2034;liike;33
wem;2034;tsto;3
wem;2034;liiken;2
wem;2034;hoito;26
wem;2034;kokoon;6
wem;2034;opetus;8
wem;2034;teoll;7
wem;2034;varast;4
wem;2034;muut;7
wem;2035;erpien;27
wem;2035;rivita;29
wem;2035;askert;26
wem;2035;liike;33
wem;2035;tsto;3
wem;2035;liiken;2
wem;2035;hoito;26
wem;2035;kokoon;6
wem;2035;opetus;8
wem;2035;teoll;7
wem;2035;varast;4
wem;2035;muut;7
wem;2036;erpien;27
wem;2036;rivita;29
wem;2036;askert;26
wem;2036;liike;33
wem;2036;tsto;3
wem;2036;liiken;2
wem;2036;hoito;26
wem;2036;kokoon;6
wem;2036;opetus;8
wem;2036;teoll;7
wem;2036;varast;4
wem;2036;muut;7
wem;2037;erpien;27
wem;2037;rivita;29
wem;2037;askert;26
wem;2037;liike;33
wem;2037;tsto;3
wem;2037;liiken;2
wem;2037;hoito;26
wem;2037;kokoon;6
wem;2037;opetus;8
wem;2037;teoll;7
wem;2037;varast;4
wem;2037;muut;7
wem;2038;erpien;27
wem;2038;rivita;29
wem;2038;askert;26
wem;2038;liike;33
wem;2038;tsto;3
